id,category,affected_rows,original_citation_url,mirror_url,http_status,local_original_path,local_markdown_path,retrieved_at,notes
OSHA-1910.1450,cfr_via_govinfo,133,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1450,https://www.govinfo.gov/content/pkg/CFR-2023-title29-vol6/xml/CFR-2023-title29-vol6-sec1910-1450.xml,200,artifacts/kb_source_archive_20260723/OSHA-1910.1450.xml,artifacts/kb_source_archive_20260723/OSHA-1910.1450.md,2026-07-23,archived successfully
OSHA-1910.1200,cfr_via_govinfo,11,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1200,https://www.govinfo.gov/content/pkg/CFR-2023-title29-vol6/xml/CFR-2023-title29-vol6-sec1910-1200.xml,200,artifacts/kb_source_archive_20260723/OSHA-1910.1200.xml,artifacts/kb_source_archive_20260723/OSHA-1910.1200.md,2026-07-23,archived successfully
OSHA-1910.1030,cfr_via_govinfo,4,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1030,https://www.govinfo.gov/content/pkg/CFR-2023-title29-vol6/xml/CFR-2023-title29-vol6-sec1910-1030.xml,200,artifacts/kb_source_archive_20260723/OSHA-1910.1030.xml,artifacts/kb_source_archive_20260723/OSHA-1910.1030.md,2026-07-23,archived successfully
OSHA-1910.134,cfr_via_govinfo,3,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.134,https://www.govinfo.gov/content/pkg/CFR-2023-title29-vol5/xml/CFR-2023-title29-vol5-sec1910-134.xml,200,artifacts/kb_source_archive_20260723/OSHA-1910.134.xml,artifacts/kb_source_archive_20260723/OSHA-1910.134.md,2026-07-23,archived successfully
OSHA-1910.120,cfr_via_govinfo,3,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.120,https://www.govinfo.gov/content/pkg/CFR-2023-title29-vol5/xml/CFR-2023-title29-vol5-sec1910-120.xml,200,artifacts/kb_source_archive_20260723/OSHA-1910.120.xml,artifacts/kb_source_archive_20260723/OSHA-1910.120.md,2026-07-23,archived successfully
OSHA-1910.333,cfr_via_govinfo,3,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.333,https://www.govinfo.gov/content/pkg/CFR-2023-title29-vol5/xml/CFR-2023-title29-vol5-sec1910-333.xml,200,artifacts/kb_source_archive_20260723/OSHA-1910.333.xml,artifacts/kb_source_archive_20260723/OSHA-1910.333.md,2026-07-23,archived successfully
OSHA-1910.147,cfr_via_govinfo,3,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147,https://www.govinfo.gov/content/pkg/CFR-2023-title29-vol5/xml/CFR-2023-title29-vol5-sec1910-147.xml,200,artifacts/kb_source_archive_20260723/OSHA-1910.147.xml,artifacts/kb_source_archive_20260723/OSHA-1910.147.md,2026-07-23,archived successfully
NRC-10CFR-Part20,cfr_via_govinfo,7,https://www.nrc.gov/reading-rm/doc-collections/cfr/part020/,https://www.govinfo.gov/content/pkg/CFR-2023-title10-vol1/xml/CFR-2023-title10-vol1-part20.xml,200,artifacts/kb_source_archive_20260723/NRC-10CFR-Part20.xml,artifacts/kb_source_archive_20260723/NRC-10CFR-Part20.md,2026-07-23,archived successfully
NCBI-NBK55873,ncbi_direct,47,https://www.ncbi.nlm.nih.gov/books/NBK55873/,https://www.ncbi.nlm.nih.gov/books/NBK55873/,200,artifacts/kb_source_archive_20260723/NCBI-NBK55873.html,artifacts/kb_source_archive_20260723/NCBI-NBK55873.md,2026-07-23,archived successfully
NCBI-NBK55878,ncbi_direct,7,https://www.ncbi.nlm.nih.gov/books/NBK55878/,https://www.ncbi.nlm.nih.gov/books/NBK55878/,200,artifacts/kb_source_archive_20260723/NCBI-NBK55878.html,artifacts/kb_source_archive_20260723/NCBI-NBK55878.md,2026-07-23,archived successfully
OPENSTD-GB19489-2008,openstd_partial_metadata,8,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=EB3B94B543F6E4CD18C044DE6AB64CEC,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=EB3B94B543F6E4CD18C044DE6AB64CEC,200,artifacts/kb_source_archive_20260723/OPENSTD-GB19489-2008.html,artifacts/kb_source_archive_20260723/OPENSTD-GB19489-2008.md,2026-07-23,"server-rendered metadata confirmed real (standard number/title/dates present in static HTML); full text requires JS-based online preview, not captured"
OPENSTD-GBT13869-2017,openstd_not_found,3,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=0E0C42CADDB0D3E8DA27FECB80CCDE02,,200,,,2026-07-23,"CONFIRMED ANOMALY: page returns HTTP 200 but contains no GB standard number anywhere in server-rendered HTML (verified by regex scan), unlike GB19489 where the number appears directly in <title> and body; this hcno does not resolve to a real record. Needs manual re-search on openstd.samr.gov.cn for the correct GB/T 13869-2017 link."
