url,traceability_status,http_status,row_count,source_orgs,sample_source_title,sample_ids,final_url,content_type,bytes_sampled,error
http://ccc.chem.pitt.edu/wipf/papers&presentations/safety-manual.pdf,open,200,1,University of Pittsburgh EHS,University of Pittsburgh Safety Manual - Magnet Safety,KB-PHASE4-0508,http://ccc.chem.pitt.edu/wipf/papers&presentations/safety-manual.pdf,application/pdf,65536,
http://www.moe.gov.cn/s78/A16/tongzhi/201905/t20190529_383641.html,open,200,1,中华人民共和国教育部科技司,教育部科技司关于开展2019年度高等学校科研实验室安全现场检查的通知,KB-RECO-0232,http://www.moe.gov.cn/s78/A16/tongzhi/201905/t20190529_383641.html,text/html,15946,
http://www.moe.gov.cn/srcsite/A16/s3336/201905/t20190531_383962.html,open,200,5,中华人民共和国教育部,教育部关于加强高校实验室安全工作的意见,KB-RECO-0225;KB-RECO-0231;KB-RECO-0234;KB-RECO-0236;KB-RECO-0248,http://www.moe.gov.cn/srcsite/A16/s3336/201905/t20190531_383962.html,text/html,22535,
http://www.nxmu.edu.cn/lnjbzdsys/info/1094/1283.htm,open,200,1,宁夏医科大学/高校通用,液氮安全操作规程,KB-1029,http://www.nxmu.edu.cn/lnjbzdsys/info/1094/1283.htm,text/html,10389,
https://adrona.lv/wp-content/uploads/2023/08/TGA-4000-Specifiactions_English.pdf,open,200,1,PerkinElmer,TGA 4000 Thermogravimetric Analyzer Specifications,KB-PHASE4-0546,https://adrona.lv/wp-content/uploads/2023/08/TGA-4000-Specifiactions_English.pdf,application/pdf,65536,
https://archive.epa.gov/epawaste/hazard/tsd/td/web/html/combustion.html,open,200,1,U.S. Environmental Protection Agency Archive,Combustion - Hazardous Waste,KB-PHASE4-0751,https://archive.epa.gov/epawaste/hazard/tsd/td/web/html/combustion.html,text/html,22072,
https://assets.thermofisher.com/TFS-Assets/LSG/manuals/MAN0016959_GAHyPerformanceAPTSKit_UG.pdf,open,200,1,Thermo Fisher Scientific,GlycanAssure HyPerformance APTS Kit User Guide - Thermo,KB-PHASE4-0444,https://documents.thermofisher.com/TFS-Assets/LSG/manuals/MAN0016959_GAHyPerformanceAPTSKit_UG.pdf,application/pdf,65536,
https://blink.ucsd.edu/safety/research-lab/chemical/hoods/,open,200,6,UC San Diego Blink,UC San Diego Chemical Fume Hoods Overview,EXT-UCSD-FUME-HOODS-001-54f823648f;EXT-UCSD-FUME-HOODS-002-418c467168;EXT-UCSD-FUME-HOODS-003-0b9a8ac234;EXT-UCSD-FUME-HOODS-004-173524b2d6;EXT-UCSD-FUME-HOODS-005-d959925d1b,https://blink.ucsd.edu/safety/research-lab/chemical/hoods/,text/html; charset=UTF-8,63091,
https://blink.ucsd.edu/safety/research-lab/hazardous-waste/disposal-guidance/extremely.html,open,200,14,UC San Diego Blink,UC San Diego Extremely Hazardous Chemical Waste,EXT-UCSD-EXTREME-WASTE-001-2266f02556;EXT-UCSD-EXTREME-WASTE-002-5e3432dd5e;EXT-UCSD-EXTREME-WASTE-003-48e1664bab;EXT-UCSD-EXTREME-WASTE-004-8f2520e870;EXT-UCSD-EXTREME-WASTE-005-bd5363c1ec,https://blink.ucsd.edu/safety/research-lab/hazardous-waste/disposal-guidance/extremely.html,text/html; charset=UTF-8,65536,
https://ccce.csu.edu.cn/info/1591/7436.htm,open,200,1,中南大学化学化工学院,实验室安全知识-化学化工学院门户网站,WEBX-039-001,https://ccce.csu.edu.cn/info/1591/7436.htm,text/html,65536,
https://cem.com/how-safe-is-the-instrument/microwave-digestion,open,200,1,CEM Corporation,How safe is the instrument/microwave digestion,KB-RECO-0390,https://cem.com/how-safe-is-the-instrument/microwave-digestion,text/html; charset=UTF-8,72656,
https://cem.com/why-can-t-i-use-a-home-microwave-for-acid-digestion-or-extraction,open,200,1,CEM Corporation,Why can't I use a home microwave for acid digestion,KB-RECO-0391,https://cem.com/why-can-t-i-use-a-home-microwave-for-acid-digestion-or-extraction,text/html; charset=UTF-8,70377,
https://chem.fjnu.edu.cn/86/7f/c17280a362111/page.htm,open,200,1,福建师范大学化学与材料学院,易制毒、易制爆、危险化学品管理规章制度,WEBX-032-001,https://chem.fjnu.edu.cn/86/7f/c17280a362111/page.htm,text/html,44305,
https://chemistry.stanford.edu/resources/environmental-health-lab-safety/general-resources,open,200,4,Stanford University;Stanford University Department of Chemistry,Stanford Chemistry Department Safety Training,KB-RECO-0196;KB-RECO-0216;KB-RECO-0229;KB-RECO-0233,https://chemistry.stanford.edu/resources/environmental-health-lab-safety/general-resources,text/html; charset=UTF-8,65536,
https://chemistry.unt.edu/system/files/tga_2_user_manual.pdf,open,200,4,METTLER TOLEDO,METTLER TOLEDO TGA 2 User Manual - High Temperature Safety,KB-RECO-0053;KB-RECO-0054;KB-RECO-0055;KB-RECO-0058,https://chemistry.unt.edu/system/files/tga_2_user_manual.pdf,application/pdf,65536,
https://chemlab.jhun.edu.cn/4b/ea/c4541a84970/pagem.htm,open,200,1,江汉大学化学实验教学中心,实验室危险废弃物、废液处置流程,WEBX-040-001,https://chemlab.jhun.edu.cn/4b/ea/c4541a84970/pagem.htm,text/html,29109,
