id,title,old_url,new_url,old_source_title,new_source_title,old_source_org,new_source_org,reason
WEB82-026-001,HSE Biosafety Infection,https://www.hse.gov.uk/biosafety/infection.htm,https://www.hse.gov.uk/biosafety/,HSE Biosafety Infection,Infections and biological hazards at work,HSE UK,HSE UK,HSE infection page moved into the current infections and biological hazards at work hub.
KB-RECO-0178,X射线衍射仪(XRD)安全防护要求,https://www.fda.gov/radiation-emitting-products,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/compliance-guide-cabinet-x-ray-systems,FDA/CDRH Laser and X-ray Device Safety,Compliance Guide for Cabinet X-Ray Systems,U.S. Food and Drug Administration (FDA),U.S. Food and Drug Administration (FDA),Generic FDA radiation-emitting products entry was blocked in automated audit; replaced with FDA cabinet X-ray guidance supporting the XRD/X-ray safety row.
KB-PHASE4-0550,Thermo FTIR液氮冷却MCT探测器安全替代方案,https://www.thermofisher.com/blog/materials/a-safer-smarter-alternative-for-ftir-spectroscopy-exploring-thermoelectrically-cooled-mct-detectors/,https://documents.thermofisher.com/TFS-Assets/CAD/Application-Notes/apex-te-mct-an64724-en.pdf,Exploring Thermoelectrically Cooled MCT Detectors,Thermoelectrically cooled MCT detectors enable high speed and high sensitivity FTIR gas analysis,Thermo Fisher Scientific,Thermo Fisher Scientific,Thermo Fisher blog returned HTTP 404 to automated audit; replaced with an official Thermo Fisher TEC-MCT detector application note PDF.
KB-PHASE4-0555,FTIR烟雾毒性分析有害气体安全监测,https://www.thermofisher.com/blog/materials/analysis-of-smoke-toxicity-using-ftir-spectroscopy-webinar/,https://documents.thermofisher.com/TFS-Assets/MSD/Technical-Notes/FL53370-gas-phase-ftir-smoke-toxicity-measurements.pdf,Analysis of Smoke Toxicity Using FTIR Spectroscopy,Gas-phase FTIR for smoke toxicity measurements,Thermo Fisher Scientific,Thermo Fisher Scientific,Thermo Fisher smoke-toxicity webinar URL returned HTTP 404 to automated audit; replaced with the official Thermo Fisher gas-phase FTIR smoke toxicity technical note PDF.
KB-PHASE4-0726,危险废物容器管理技术规范,https://www.epa.gov/hw/hazardous-waste-container-management-requirements,https://iwaste.epa.gov/rpts/handbk4.pdf,Hazardous Waste Containers,Hazardous Waste Containers,U.S. Environmental Protection Agency,U.S. Environmental Protection Agency,EPA hazardous waste container management page returned HTTP 404; replaced with EPA's Hazardous Waste Containers handbook PDF.
KB-PHASE4-0732,纳米材料废物管理的法规判定口径,https://www.epa.gov/chemical-safety/nanotechnology-research-and-applications,https://www.epa.gov/reviewing-new-chemicals-under-toxic-substances-control-act-tsca/control-nanoscale-materials-under,Nanotechnology and Hazardous Waste Management,Control of Nanoscale Materials under the Toxic Substances Control Act,U.S. Environmental Protection Agency,U.S. Environmental Protection Agency,EPA nanotechnology research page returned HTTP 404; replaced with EPA's current nanoscale materials TSCA control page and narrowed the answer to supported regulatory framing.
KB-PHASE4-0747,电子废弃物(e-Manifest)追踪系统,https://www.epa.gov/hw/hazardous-waste-manifest-system,https://www.epa.gov/hwgenerators/hazardous-waste-manifest-system,Hazardous Waste Manifest System,Hazardous Waste Manifest System,U.S. Environmental Protection Agency,U.S. Environmental Protection Agency,EPA hazardous waste manifest page moved under the Hazardous Waste Generators section.
KB-PHASE4-0751,危险废物燃烧处置的合规限制,https://www.epa.gov/hw/hazardous-waste-combustion,https://archive.epa.gov/epawaste/hazard/tsd/td/web/html/combustion.html,Hazardous Waste Combustion,Combustion - Hazardous Waste,U.S. Environmental Protection Agency,U.S. Environmental Protection Agency Archive,EPA hazardous waste combustion page returned HTTP 404; replaced with EPA's archived hazardous waste combustion overview and narrowed the answer to permitted combustion controls.
KB-BLK-9004,有毒气体泄漏——保命优先,https://ors.od.nih.gov/sr/dohs/Documents/compressed-gas-cryogen-safety.pdf,https://ors.od.nih.gov/sr/dohs/Documents/compressed-gas-and-cryogen-safety-guidelines-document.pdf,NIH Compressed Gas and Cryogen Safety Guidelines,NIH Compressed Gas and Cryogen Safety Guidelines,NIH ORS,NIH ORS,NIH ORS compressed gas and cryogen PDF moved to the current guidelines document URL.
KB-BLK-9005,可燃气体泄漏——任何火花都可能引发爆炸,https://ors.od.nih.gov/sr/dohs/Documents/compressed-gas-cryogen-safety.pdf,https://ors.od.nih.gov/sr/dohs/Documents/compressed-gas-and-cryogen-safety-guidelines-document.pdf,NIH Compressed Gas and Cryogen Safety Guidelines,NIH Compressed Gas and Cryogen Safety Guidelines,NIH ORS,NIH ORS,NIH ORS compressed gas and cryogen PDF moved to the current guidelines document URL.
