"priority","traceability_status","http_status","affected_row_count","domain","source_orgs","sample_source_title","sample_ids","url","final_url","error","manual_result","manual_access_time","reviewer","evidence_note","recommended_action"
"P1","blocked_or_forbidden","403","133","www.osha.gov","OSHA;Occupational Safety and Health Administration;U.S. Occupational Safety and Health Administration (OSHA)","OSHA 29 CFR 1910.1450 Occupational Exposure to Hazardous Chemicals in Laboratories","EXT-OSHA-1910-1450-001-a77d791b29;EXT-OSHA-1910-1450-002-8f108ed433;EXT-OSHA-1910-1450-003-8d73f7cb43;EXT-OSHA-1910-1450-004-c17b4f3b08;EXT-OSHA-1910-1450-005-31106c72ac","https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1450","https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1450","","","","","",""
"P1","network_error","","47","www.ncbi.nlm.nih.gov","Cornell EHS / National Academies Press;National Academies Press / NCBI Bookshelf;National Academies Press / OSHA;教育部 / National Academies Press","高等学校实验室安全规范（教育部2024）; Prudent Practices in the Laboratory","KB-SOP-3010;EXT-NCBI-PRUDENT-OVERVIEW-001-652025dea2;EXT-NCBI-PRUDENT-OVERVIEW-002-a96abf7871;EXT-NCBI-PRUDENT-OVERVIEW-003-c53c3efedd;EXT-NCBI-PRUDENT-OVERVIEW-004-2d303b5960","https://www.ncbi.nlm.nih.gov/books/NBK55873/","","ReadTimeout: HTTPSConnectionPool(host='www.ncbi.nlm.nih.gov', port=443): Read timed out. (read timeout=15)","","","","",""
"P1","blocked_or_forbidden","403","29","www.osha.gov","OSHA;OSHA / NIOSH;Occupational Safety and Health Administration (OSHA);U.S. Occupational Safety and Health Administration;U.S. Occupational Safety and Health Administration (OSHA)","OSHA Laboratory Safety Guidance","KB-RECO-0110;KB-RECO-0111;KB-RECO-0141;KB-RECO-0150;KB-RECO-0166","https://www.osha.gov/sites/default/files/publications/OSHA3404LABORATORY-SAFETY-GUIDANCE.pdf","https://www.osha.gov/sites/default/files/publications/OSHA3404LABORATORY-SAFETY-GUIDANCE.pdf","","","","","",""
"P1","blocked_or_forbidden","403","27","www.cdc.gov","CDC/NIH","Biosafety in Microbiological and Biomedical Laboratories (BMBL), 6th Edition","KB-BLK-9033;KB-BLK-9035;KB-BLK-9036;KB-BLK-9037;KB-BLK-9038","https://www.cdc.gov/labs/BMBL.html","https://www.cdc.gov/labs/BMBL.html","","","","","",""
"P1","blocked_or_forbidden","403","23","www.osha.gov","OSHA / AORN Alliance;OSHA / Laser Institute of America (LIA);Occupational Safety and Health Administration (OSHA)","Laser Hazards - Hazard Recognition","KB-RECO-0112;KB-RECO-0113;KB-RECO-0116;KB-RECO-0117;KB-RECO-0118","https://www.osha.gov/laser-hazards/hazards","https://www.osha.gov/laser-hazards/hazards","","","","","",""
"P1","blocked_or_forbidden","403","14","www.cdc.gov","CDC (Centers for Disease Control and Prevention);Centers for Disease Control and Prevention;Centers for Disease Control and Prevention (CDC);Centers for Disease Control and Prevention (CDC) / NIOSH","Guidelines for Safe Work Practices in Diagnostic Laboratories","KB-RECO-0168;KB-RECO-0169;KB-RECO-0186;KB-RECO-0379;KB-RECO-0380","https://www.cdc.gov/mmwr/preview/mmwrhtml/su6101a1.htm","https://www.cdc.gov/mmwr/preview/mmwrhtml/su6101a1.htm","","","","","",""
"P1","network_error","","13","openstd.samr.gov.cn","住建部;国家市场监督管理总局;国家市场监督管理总局 / OSHA;国家市场监督管理总局 / 国务院;国家标准化管理委员会(SAC)","GB/T 34525-2017 气瓶搬运、装卸、储存和使用安全规定","KB-MSDS-2013;KB-SOP-3009;KB-GEN-4003;KB-GEN-4004;KB-BIO-5001","https://openstd.samr.gov.cn/","","ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))","","","","",""
"P1","blocked_or_forbidden","403","10","documents.thermofisher.com","Thermo Fisher Scientific","Vanquish UHPLC Systems Operating Manual - Safety Precautions","KB-RECO-0011;KB-RECO-0012;KB-RECO-0013;KB-RECO-0014;KB-RECO-0015","https://documents.thermofisher.com/TFS-Assets/CMD/manuals/Man-4820-3601-LC-Vanquish-UHPLC-Man48203601-EN.pdf","https://documents.thermofisher.com/TFS-Assets/CMD/manuals/Man-4820-3601-LC-Vanquish-UHPLC-Man48203601-EN.pdf","","","","","",""
"P1","blocked_or_forbidden","403","9","www.osha.gov","U.S. Occupational Safety and Health Administration","OSHA Employer Responsibilities","KB-RECO-0220;KB-RECO-0223;KB-RECO-0226;KB-RECO-0235;KB-RECO-0238","https://www.osha.gov/workers/employer-responsibilities","https://www.osha.gov/workers/employer-responsibilities","","","","","",""
"P1","network_error","","8","openstd.samr.gov.cn","国家标准全文公开系统","GB 19489-2008 实验室生物安全通用要求","KB-RECO-0336;KB-RECO-0337;KB-RECO-0338;KB-RECO-0339;KB-RECO-0340","https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=EB3B94B543F6E4CD18C044DE6AB64CEC","","ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))","","","","",""
