"domain","traceability_status","url_count","affected_row_count"
"www.osha.gov","blocked_or_forbidden","158","426"
"www.cdc.gov","blocked_or_forbidden","124","201"
"www.ncbi.nlm.nih.gov","network_error","2","54"
"www.nrc.gov","blocked_or_forbidden","21","39"
"www.agilent.com","network_error","27","32"
"openstd.samr.gov.cn","network_error","7","29"
"www.tainstruments.com","blocked_or_forbidden","8","13"
"documents.thermofisher.com","blocked_or_forbidden","1","10"
"osp.od.nih.gov","blocked_or_forbidden","2","7"
"www.cernet.edu.cn","network_error","1","6"
"www.metrohm.com","blocked_or_forbidden","2","6"
"manualmachine.com","blocked_or_forbidden","1","4"
"makesafetyeasy.com","network_error","1","3"
"pubs.acs.org","blocked_or_forbidden","2","3"
"www.iaea.org","blocked_or_forbidden","3","3"
"www.waters.com","blocked_or_forbidden","2","3"
"webstore.ansi.org","blocked_or_forbidden","2","2"
"www.mdpi.com","blocked_or_forbidden","1","2"
"www.safety.admin.cam.ac.uk","blocked_or_forbidden","1","2"
"coactionspecialty.safetynow.com","blocked_or_forbidden","1","1"
"dehs.umn.edu","blocked_or_forbidden","1","1"
"ehs.princeton.edu","blocked_or_forbidden","1","1"
"ir.bruker.com","blocked_or_forbidden","1","1"
"radiology.ucsf.edu","blocked_or_forbidden","1","1"
"tools.thermofisher.com","blocked_or_forbidden","1","1"
"www.beckman.com","blocked_or_forbidden","1","1"
"www.bruker.com","blocked_or_forbidden","1","1"
"www.edu.cn","network_error","1","1"
"www.ika.com","blocked_or_forbidden","1","1"
