run,file,size_bytes,magic_pdf,pages,parse_error,verdict
pdf_source_backups_20260725,001_www.agilent.com_cf10926332_7890B_Safety.pdf,512345,yes,18,,ok
pdf_source_backups_20260725,002_ehs.stanford.edu_3ee5976b86_lab-chemical-safety-plan.pdf,3214863,yes,49,,ok
pdf_source_backups_20260725,002_www.agilent.com_e78975e008_Best_Practice_LC_Operations.pdf,8929577,yes,36,,ok
pdf_source_backups_20260725,003_icp-ms.help.agilent.com_da120930cf_G8400-90016_Precautions.pdf,135253,yes,22,,ok
pdf_source_backups_20260725,003_www.agilent.com_f579a36ba4_7890A_GC_User_Manual_Collection.pdf,203396,yes,1,,ok
pdf_source_backups_20260725,003_www.epa.gov_834f0fa9eb_hw-char.pdf,388098,yes,30,,ok
pdf_source_backups_20260725,004_community.agilent.com_85b1f6e3da_G7446_2D00_35102B-Agilent-magnetic-Resonance-systems.pdf,525352,yes,26,,ok
pdf_source_backups_20260725,005_icp-ms.help.agilent.com_093ff014b6_G3666-90006_Precautions.pdf,149077,yes,25,,ok
pdf_source_backups_20260725,005_www.agilent.com_2e85fcbdda_Getting_your_HPLC_Back_up_and_running_flyer.pdf,211765,yes,2,,ok
pdf_source_backups_20260725,006_ehs.stanford.edu_12afb031b6_Storage-Group-Poster.pdf,415350,yes,2,,ok
pdf_source_backups_20260725,006_reach.cdc.gov_7555d57f03_Crisis_Response_Toolkit.pdf,2832707,yes,33,,ok
pdf_source_backups_20260725,006_www.agilent.com_84a914f168_gc-detector-design-troubleshooting-flame-ionization-fid-theory-basics-gas-flows-july212020.pdf,1630070,yes,34,,ok
pdf_source_backups_20260725,007_www-pub.iaea.org_e0b1124559_Pub1578_web-57265295.pdf,1735533,yes,471,,ok
pdf_source_backups_20260725,007_www.agilent.com_595a0c88ab_7800_7900_ICP-MS_Site_Preparation_Checklist_Rev.B.pdf,1341639,yes,36,,ok
pdf_source_backups_20260725,007_www.cdc.gov_d4f78c722a_2007-107.pdf,1718683,yes,86,,ok
pdf_source_backups_20260725,008_www.agilent.com_63de034a65_Agilent_8890_GC_Site_Preparation_Checklist.pdf,1770056,yes,20,,ok
pdf_source_backups_20260725,008_www.metrohm.com_acae1cee54_89308001EN.pdf,6623999,yes,85,,ok
pdf_source_backups_20260725,009_documents.thermofisher.com_3ad2bc480a_Summit-UG.pdf,1580105,yes,87,,ok
pdf_source_backups_20260725,009_www.agilent.com_b61a8b42ed_5971-6636_Atomic_Safety_Info_EN.pdf,192474,yes,10,,ok
pdf_source_backups_20260725,010_www.agilent.com_72f2f1302b_9000_Operation.pdf,10232147,yes,220,,ok
pdf_source_backups_20260725,011_documents.thermofisher.com_1a6f1ab4aa_summit-lite-site-and-safety-en.pdf,152712,yes,12,,ok
pdf_source_backups_20260725,011_www.agilent.com_1558986509_G1364E-User.pdf,3261749,yes,170,,ok
pdf_source_backups_20260725,011_www.cdc.gov_d63122f612_0159-020109-Sheet404.pdf,1788572,yes,2,,ok
pdf_source_backups_20260725,012_www.agilent.com_3fabcce5d1_G3430-90052_7890B_Maintaining_Guide.pdf,13802129,yes,354,,ok
pdf_source_backups_20260725,012_www.epa.gov_8792585a8b_cont05.pdf,64039,yes,13,,ok
pdf_source_backups_20260725,013_www.agilent.com_6cd4ed6324_user-guide-coverting-ei-gcms-instruments-5994-2312en-agilent.pdf,1415055,yes,36,,ok
pdf_source_backups_20260725,014_documents.thermofisher.com_9cd916ab6e_sn-43363-icp-oes-aas-benefits-sn43363-en.pdf,779548,yes,6,,ok
pdf_source_backups_20260725,014_www.agilent.com_f1ec1c8e28_usermanual-gc-operation-8890-g3540-90014-en-agilent.pdf,8652212,yes,292,,ok
pdf_source_backups_20260725,015_documents.thermofisher.com_01f08b18e8_ii-1r120591-0001-isq-ec-ms-req-ii1r1205910001-en.pdf,1248416,yes,56,,ok
pdf_source_backups_20260725,015_www.agilent.com_9ab71fafa6_G9214-90000_RapidFire360_User_RevD.pdf,7707844,yes,102,,ok
pdf_source_backups_20260725,016_reach.cdc.gov_75cb61930d_Autoclave-Text-Version-UPDATED.pdf,2456613,yes,17,,ok
pdf_source_backups_20260725,017_smse.seu.edu.cn_eebd584c1f_e1702a0e-d3c7-4843-9d57-8a4c24093f9d.pdf,9848148,yes,412,,ok
pdf_source_backups_20260725,017_www.cdc.gov_7ace507565_2014-102.pdf,5516931,yes,95,,ok
pdf_source_backups_20260725,018_www.bc.edu_2e36f7aeb9_NMR_Safety_Plan.pdf,98320,yes,3,,ok
pdf_source_backups_20260725,024_sciex.com_33d2d94ccf_safety-practices-guide-en.pdf,392516,yes,25,,ok
pdf_source_backups_20260725,027_stacks.cdc.gov_98d1fd35e2_cdc_214551_DS1.pdf,95768,yes,9,,ok
pdf_source_backups_20260725,029_www.acs.org_3aaf0337a5_2018-10-11-lab-safety-culture-slides.pdf,2919337,yes,23,,ok
pdf_source_backups_20260725,030_www.cdc.gov_e29148dfdb_2009-147-revised.pdf,2584022,yes,82,,ok
pdf_source_backups_20260725,030_www.shimadzu.com_372fbf1c9f_bgaz-4000-2007.pdf,2590398,yes,48,,ok
pdf_source_backups_20260725,031_ccc.chem.pitt.edu_54d69831fe_safety-manual.pdf,4559929,yes,301,,ok
pdf_source_backups_20260725,031_www.cdc.gov_2f2ec580d1_2011-199.pdf,1782669,yes,24,,ok
pdf_source_backups_20260725,032_adrona.lv_290b901468_TGA-4000-Specifiactions_English.pdf,218006,yes,2,,ok
pdf_source_backups_20260725,032_www.cdc.gov_0c673239e9_2011-200.pdf,1633009,yes,28,,ok
pdf_source_backups_20260725,033_assets.thermofisher.com_f762746cf1_MAN0016959_GAHyPerformanceAPTSKit_UG.pdf,937896,yes,40,,ok
pdf_source_backups_20260725,033_www.cdc.gov_1f06f0fc6b_2012-123.pdf,793994,yes,2,,ok
pdf_source_backups_20260725,034_documents.thermofisher.com_81500d1616_apex-te-mct-an64724-en.pdf,1224156,yes,4,,ok
pdf_source_backups_20260725,034_www.cdc.gov_d0b717ab25_2023-139revised092023.pdf,429689,yes,2,,ok
pdf_source_backups_20260725,035_documents.thermofisher.com_714ccaa72b_50155784-c-Thermo_Scientific_Sorvall_ST_16R-en.pdf,803970,yes,51,,ok
pdf_source_backups_20260725,035_www.cdc.gov_674a7e7f5a_2025-107.pdf,2445786,yes,164,,ok
pdf_source_backups_20260725,036_documents.thermofisher.com_be4be0cbb2_bsc-a2-b2-differences-appnote.pdf,190114,yes,6,,ok
pdf_source_backups_20260725,036_www.cdc.gov_809385b67a_2025-100.pdf,1105489,yes,8,,ok
pdf_source_backups_20260725,037_documents.thermofisher.com_7491821c25_FL53370-gas-phase-ftir-smoke-toxicity-measurements.pdf,739137,yes,2,,ok
