source_url,row_count,traceability_status,attempted_url,final_url,http_status,content_type,status,local_path,sha256,size_bytes,retrieved_at,notes
http://ccc.chem.pitt.edu/wipf/papers&presentations/safety-manual.pdf,1,open,http://ccc.chem.pitt.edu/wipf/papers&presentations/safety-manual.pdf,http://ccc.chem.pitt.edu/wipf/papers&presentations/safety-manual.pdf,,application/pdf,downloaded,artifacts\pdf_source_backups_20260725\files\031_ccc.chem.pitt.edu_54d69831fe_safety-manual.pdf,841358fd7015d5c11a97a212b08f3acc7fce302fe54099c30c0d274dd3eb483c,4559929,2026-07-25T14:52:58.289482+00:00,validated_pdf_magic_from_local_backup_index
https://adrona.lv/wp-content/uploads/2023/08/TGA-4000-Specifiactions_English.pdf,1,open,https://adrona.lv/wp-content/uploads/2023/08/TGA-4000-Specifiactions_English.pdf,https://adrona.lv/wp-content/uploads/2023/08/TGA-4000-Specifiactions_English.pdf,,application/pdf,downloaded,artifacts\pdf_source_backups_20260725\files\032_adrona.lv_290b901468_TGA-4000-Specifiactions_English.pdf,b8afda87dedcff940ddc11f558527a00d6272daa2679cface4a1e7071df52689,218006,2026-07-25T14:52:58.289482+00:00,validated_pdf_magic_from_local_backup_index
https://assets.thermofisher.com/TFS-Assets/LSG/manuals/MAN0016959_GAHyPerformanceAPTSKit_UG.pdf,1,open,https://assets.thermofisher.com/TFS-Assets/LSG/manuals/MAN0016959_GAHyPerformanceAPTSKit_UG.pdf,https://assets.thermofisher.com/TFS-Assets/LSG/manuals/MAN0016959_GAHyPerformanceAPTSKit_UG.pdf,,application/pdf,downloaded,artifacts\pdf_source_backups_20260725\files\033_assets.thermofisher.com_f762746cf1_MAN0016959_GAHyPerformanceAPTSKit_UG.pdf,71ced3ca12af1498ee47c67889378de22cf83a9a38d30a35184b4a15821f368b,937896,2026-07-25T14:52:58.289482+00:00,validated_pdf_magic_from_local_backup_index
https://chemistry.unt.edu/system/files/tga_2_user_manual.pdf,4,open,https://chemistry.unt.edu/system/files/tga_2_user_manual.pdf,https://chemistry.unt.edu/system/files/tga_2_user_manual.pdf,,application/pdf,downloaded,artifacts\pdf_source_backups_20260725\files\retry_003_chemistry.unt.edu_0457e87f5b_tga_2_user_manual.pdf,060026344c55d948650e198ac5574abbd137812e912c4adf454263624af8b490,18950193,2026-07-25T14:52:58.289482+00:00,validated_pdf_magic_from_local_backup_index
https://community.agilent.com/cfs-filesystemfile/__key/communityserver-discussions-components-files/23/G7446_2D00_35102B-Agilent-magnetic-Resonance-systems.pdf,7,open,https://community.agilent.com/cfs-filesystemfile/__key/communityserver-discussions-components-files/23/G7446_2D00_35102B-Agilent-magnetic-Resonance-systems.pdf,https://community.agilent.com/cfs-filesystemfile/__key/communityserver-discussions-components-files/23/G7446_2D00_35102B-Agilent-magnetic-Resonance-systems.pdf,,application/pdf,downloaded,artifacts\pdf_source_backups_20260725\files\004_community.agilent.com_85b1f6e3da_G7446_2D00_35102B-Agilent-magnetic-Resonance-systems.pdf,6dec1e12e791e0f31fa313cfe34933ef2a91a96cd290855e9199357016cc3047,525352,2026-07-25T14:52:58.289482+00:00,validated_pdf_magic_from_local_backup_index
https://documents.thermofisher.com/TFS-Assets/CAD/Application-Notes/apex-te-mct-an64724-en.pdf,1,open,https://documents.thermofisher.com/TFS-Assets/CAD/Application-Notes/apex-te-mct-an64724-en.pdf,https://documents.thermofisher.com/TFS-Assets/CAD/Application-Notes/apex-te-mct-an64724-en.pdf,,application/pdf,downloaded,artifacts\pdf_source_backups_20260725\files\034_documents.thermofisher.com_81500d1616_apex-te-mct-an64724-en.pdf,617d9ada260a80cefd689d2bb74d3cc62d967ad6ff24d59f8a0cf9f831374061,1224156,2026-07-25T14:52:58.289482+00:00,validated_pdf_magic_from_local_backup_index
https://documents.thermofisher.com/TFS-Assets/CMD/brochures/sn-43363-icp-oes-aas-benefits-sn43363-en.pdf,3,open,https://documents.thermofisher.com/TFS-Assets/CMD/brochures/sn-43363-icp-oes-aas-benefits-sn43363-en.pdf,https://documents.thermofisher.com/TFS-Assets/CMD/brochures/sn-43363-icp-oes-aas-benefits-sn43363-en.pdf,,application/pdf,downloaded,artifacts\pdf_source_backups_20260725\files\014_documents.thermofisher.com_9cd916ab6e_sn-43363-icp-oes-aas-benefits-sn43363-en.pdf,0a67108a382d717a4abb6f0f84d4533116de56a2fbee36578ed0cbec4cae3a60,779548,2026-07-25T14:52:58.289482+00:00,validated_pdf_magic_from_local_backup_index
https://documents.thermofisher.com/TFS-Assets/CMD/manuals/Man-1R120706-0002-GC-MS-Q-Exactive-Man1R1207060002-EN.pdf,11,open,https://documents.thermofisher.com/TFS-Assets/CMD/manuals/Man-1R120706-0002-GC-MS-Q-Exactive-Man1R1207060002-EN.pdf,https://documents.thermofisher.com/TFS-Assets/CMD/manuals/Man-1R120706-0002-GC-MS-Q-Exactive-Man1R1207060002-EN.pdf,,application/pdf,downloaded,artifacts\pdf_source_backups_20260725\files\retry_001_documents.thermofisher.com_5dbcf8b027_Man-1R120706-0002-GC-MS-Q-Exactive-Man1R1207060002-EN.pdf,4a8fbfc50ec8628ff735ffe210d55a17ab76abc661f7453b7f4c9db69e43dd0b,15035677,2026-07-25T14:52:58.289482+00:00,validated_pdf_magic_from_local_backup_index
https://documents.thermofisher.com/TFS-Assets/CMD/manuals/ii-1r120591-0001-isq-ec-ms-req-ii1r1205910001-en.pdf,3,open,https://documents.thermofisher.com/TFS-Assets/CMD/manuals/ii-1r120591-0001-isq-ec-ms-req-ii1r1205910001-en.pdf,https://documents.thermofisher.com/TFS-Assets/CMD/manuals/ii-1r120591-0001-isq-ec-ms-req-ii1r1205910001-en.pdf,,application/pdf,downloaded,artifacts\pdf_source_backups_20260725\files\015_documents.thermofisher.com_01f08b18e8_ii-1r120591-0001-isq-ec-ms-req-ii1r1205910001-en.pdf,1feb4ba985183c283357d315fa71a4d074d0e03f84459238442596f3d487720a,1248416,2026-07-25T14:52:58.289482+00:00,validated_pdf_magic_from_local_backup_index
https://documents.thermofisher.com/TFS-Assets/LED/manuals/50155784-c-Thermo%20Scientific%20Sorvall%20ST%2016R-en.pdf,1,open,https://documents.thermofisher.com/TFS-Assets/LED/manuals/50155784-c-Thermo%20Scientific%20Sorvall%20ST%2016R-en.pdf,https://documents.thermofisher.com/TFS-Assets/LED/manuals/50155784-c-Thermo%20Scientific%20Sorvall%20ST%2016R-en.pdf,,application/pdf,downloaded,artifacts\pdf_source_backups_20260725\files\035_documents.thermofisher.com_714ccaa72b_50155784-c-Thermo_Scientific_Sorvall_ST_16R-en.pdf,21953ef5fd1d5c7007e28af81e001e12eb18f78ca37e302d1a44bbbe9e0a7012,803970,2026-07-25T14:52:58.289482+00:00,validated_pdf_magic_from_local_backup_index
https://documents.thermofisher.com/TFS-Assets/LPD/Application-Notes/bsc-a2-b2-differences-appnote.pdf,1,open,https://documents.thermofisher.com/TFS-Assets/LPD/Application-Notes/bsc-a2-b2-differences-appnote.pdf,https://documents.thermofisher.com/TFS-Assets/LPD/Application-Notes/bsc-a2-b2-differences-appnote.pdf,,application/pdf,downloaded,artifacts\pdf_source_backups_20260725\files\036_documents.thermofisher.com_be4be0cbb2_bsc-a2-b2-differences-appnote.pdf,ac152bce6c95b8644bb2ac62067b00eae3ae6cf4e24410dc9da2e27de7255653,190114,2026-07-25T14:52:58.289482+00:00,validated_pdf_magic_from_local_backup_index
https://documents.thermofisher.com/TFS-Assets/MSD/Product-Information/Summit-UG.pdf,5,open,https://documents.thermofisher.com/TFS-Assets/MSD/Product-Information/Summit-UG.pdf,https://documents.thermofisher.com/TFS-Assets/MSD/Product-Information/Summit-UG.pdf,,application/pdf,downloaded,artifacts\pdf_source_backups_20260725\files\009_documents.thermofisher.com_3ad2bc480a_Summit-UG.pdf,118edcc297bec936b06d229422a80060d802e400223310eba2f478edc575b493,1580105,2026-07-25T14:52:58.289482+00:00,validated_pdf_magic_from_local_backup_index
https://documents.thermofisher.com/TFS-Assets/MSD/Technical-Notes/FL53370-gas-phase-ftir-smoke-toxicity-measurements.pdf,1,open,https://documents.thermofisher.com/TFS-Assets/MSD/Technical-Notes/FL53370-gas-phase-ftir-smoke-toxicity-measurements.pdf,https://documents.thermofisher.com/TFS-Assets/MSD/Technical-Notes/FL53370-gas-phase-ftir-smoke-toxicity-measurements.pdf,,application/pdf,downloaded,artifacts\pdf_source_backups_20260725\files\037_documents.thermofisher.com_7491821c25_FL53370-gas-phase-ftir-smoke-toxicity-measurements.pdf,0fc2c4e89e7b42b06eabd07a0858dca075c7301592ae98145b7474c6b57499f4,739137,2026-07-25T14:52:58.289482+00:00,validated_pdf_magic_from_local_backup_index
https://documents.thermofisher.com/TFS-Assets/MSD/manuals/summit-lite-site-and-safety-en.pdf,4,open,https://documents.thermofisher.com/TFS-Assets/MSD/manuals/summit-lite-site-and-safety-en.pdf,https://documents.thermofisher.com/TFS-Assets/MSD/manuals/summit-lite-site-and-safety-en.pdf,,application/pdf,downloaded,artifacts\pdf_source_backups_20260725\files\011_documents.thermofisher.com_1a6f1ab4aa_summit-lite-site-and-safety-en.pdf,cc4e4ec58a9b75673d410865d24f7b6ecce1ded36e772f17deae9b1cc920cc91,152712,2026-07-25T14:52:58.289482+00:00,validated_pdf_magic_from_local_backup_index
https://ehs.stanford.edu/wp-content/uploads/Storage-Group-Poster.pdf,6,open,https://ehs.stanford.edu/wp-content/uploads/Storage-Group-Poster.pdf,https://ehs.stanford.edu/wp-content/uploads/Storage-Group-Poster.pdf,,application/pdf,downloaded,artifacts\pdf_source_backups_20260725\files\006_ehs.stanford.edu_12afb031b6_Storage-Group-Poster.pdf,7c416cbec4c911446f21fa77a2f48d866d35e812f4eb6fbee2416efc15f5737f,415350,2026-07-25T14:52:58.289482+00:00,validated_pdf_magic_from_local_backup_index
https://ehs.stanford.edu/wp-content/uploads/lab-chemical-safety-plan.pdf,11,open,https://ehs.stanford.edu/wp-content/uploads/lab-chemical-safety-plan.pdf,https://ehs.stanford.edu/wp-content/uploads/lab-chemical-safety-plan.pdf,,application/pdf,downloaded,artifacts\pdf_source_backups_20260725\files\002_ehs.stanford.edu_3ee5976b86_lab-chemical-safety-plan.pdf,f10e0e7683dee15b7a2f99d1ca32399490c4779f6c54eb3164d925ff908405df,3214863,2026-07-25T14:52:58.289482+00:00,validated_pdf_magic_from_local_backup_index
https://ehs.stonybrook.edu/_pdfs/EHS_Policy_4.5_Laboratory_Chemical_Fume_Hood_Safety_Program.pdf,1,open,https://ehs.stonybrook.edu/_pdfs/EHS_Policy_4.5_Laboratory_Chemical_Fume_Hood_Safety_Program.pdf,https://ehs.stonybrook.edu/_pdfs/EHS_Policy_4.5_Laboratory_Chemical_Fume_Hood_Safety_Program.pdf,,application/pdf,downloaded,artifacts\pdf_source_backups_20260725\files\039_ehs.stonybrook.edu_92d2ec072f_EHS_Policy_4.5_Laboratory_Chemical_Fume_Hood_Safety_Program.pdf,18664d0e6da8c9f03c57e6f4826ecc385276841ee2cc3fa8a36287bbd3cc2d7a,273948,2026-07-25T14:52:58.289482+00:00,validated_pdf_magic_from_local_backup_index
https://ehs.yale.edu/sites/default/files/files/biosafety-manual.pdf,1,open,https://ehs.yale.edu/resource/download/853,https://ehs.yale.edu/resource/download/853,,application/pdf,downloaded,artifacts\pdf_source_backups_20260725\files\repl_001_ehs.yale.edu_68ba2299cb_biosafety-manual.pdf,4f54fb8adde27b78134910e5b9e68210e3c99b4a0da4f22f2aa1956fc3e30c63,8494381,2026-07-25T14:52:58.289482+00:00,Yale EHS current resource page exposes the manual via /resource/download/853; old /sites/default path returns the resource HTML page.
https://greenlabs.caltech.edu/documents/29173/LC-125_Lab-Guidelines-and-Standards_RevC_US.pdf,1,open,https://greenlabs.caltech.edu/documents/29173/LC-125_Lab-Guidelines-and-Standards_RevC_US.pdf,https://greenlabs.caltech.edu/documents/29173/LC-125_Lab-Guidelines-and-Standards_RevC_US.pdf,,application/pdf,downloaded,artifacts\pdf_source_backups_20260725\files\041_greenlabs.caltech.edu_6b590d71fc_LC-125_Lab-Guidelines-and-Standards_RevC_US.pdf,868c2ff0579126965eddb21e8e4bd3eb54743e0efbdb47c72bc358d893dcaec9,356358,2026-07-25T14:52:58.289482+00:00,validated_pdf_magic_from_local_backup_index
https://icp-ms.help.agilent.com/en/Learning/PDF/G3666-90006_Precautions.pdf,7,open,https://icp-ms.help.agilent.com/en/Learning/PDF/G3666-90006_Precautions.pdf,https://icp-ms.help.agilent.com/en/Learning/PDF/G3666-90006_Precautions.pdf,,application/pdf,downloaded,artifacts\pdf_source_backups_20260725\files\005_icp-ms.help.agilent.com_093ff014b6_G3666-90006_Precautions.pdf,bf7af4f8537dcb6d4cc5c7dd5bd0934164de13bc50d0f6d26ed9e16568017bb3,149077,2026-07-25T14:52:58.289482+00:00,validated_pdf_magic_from_local_backup_index
https://icp-ms.help.agilent.com/en/Learning/PDF/G8400-90016_Precautions.pdf,9,open,https://icp-ms.help.agilent.com/en/Learning/PDF/G8400-90016_Precautions.pdf,https://icp-ms.help.agilent.com/en/Learning/PDF/G8400-90016_Precautions.pdf,,application/pdf,downloaded,artifacts\pdf_source_backups_20260725\files\003_icp-ms.help.agilent.com_da120930cf_G8400-90016_Precautions.pdf,0e7d8e17b1cf5aaebb3cb21623564fb2473090dc0e211ce856b3bdc0e7111125,135253,2026-07-25T14:52:58.289482+00:00,validated_pdf_magic_from_local_backup_index
