source_url,row_count,traceability_status,attempted_url,final_url,http_status,content_type,status,backup_kind,local_path,sha256,size_bytes,retrieved_at,notes
https://www.osha.gov/sites/default/files/publications/OSHA3404LABORATORY-SAFETY-GUIDANCE.pdf,29,blocked_or_forbidden,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHA3404LABORATORY-SAFETY-GUIDANCE.pdf,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHA3404LABORATORY-SAFETY-GUIDANCE.pdf,,,downloaded,archive_replay,artifacts\pdf_source_backups_20260728\files\001_www.osha.gov_272a509b99_OSHA3404LABORATORY-SAFETY-GUIDANCE.pdf,7837ead9450bd20678ff0ba6dac7d0209a4c5e4a69776b688294667bc72cd0fe,1997395,2026-07-28T09:47:34.518276+00:00,validated_pdf_magic_from_raw_wayback_replay
https://documents.thermofisher.com/TFS-Assets/CMD/manuals/Man-4820-3601-LC-Vanquish-UHPLC-Man48203601-EN.pdf,10,blocked_or_forbidden,https://web.archive.org/web/2id_/https://assets.thermofisher.com/TFS-Assets/CMD/manuals/Man-4820-3601-LC-Vanquish-UHPLC-Man48203601-EN.pdf,https://web.archive.org/web/2id_/https://assets.thermofisher.com/TFS-Assets/CMD/manuals/Man-4820-3601-LC-Vanquish-UHPLC-Man48203601-EN.pdf,200,application/pdf,downloaded,official_canonical_archive_replay,artifacts\pdf_source_backups_20260728\files\002_documents.thermofisher.com_b5022506ec_Man-4820-3601-LC-Vanquish-UHPLC-Man48203601-EN.pdf,f52664696b9d7f93c097a4811bae6082ae6767dd607913cf1537d82c16bda015,4568712,2026-07-28T10:11:44.965704+00:00,validated_pdf_magic; alternate provenance explicitly recorded
https://osp.od.nih.gov/wp-content/uploads/NIH_Guidelines.pdf,5,blocked_or_forbidden,https://web.archive.org/web/2id_/https://osp.od.nih.gov/wp-content/uploads/NIH_Guidelines.pdf,https://web.archive.org/web/2id_/https://osp.od.nih.gov/wp-content/uploads/NIH_Guidelines.pdf,,,downloaded,archive_replay,artifacts\pdf_source_backups_20260728\files\003_osp.od.nih.gov_05b0e68e10_NIH_Guidelines.pdf,a47072766422f8ef4d8c85096ad0445bc6da004ab8eac27af6a08d31f94095a2,2015735,2026-07-28T09:47:55.776577+00:00,validated_pdf_magic_from_raw_wayback_replay
https://www.osha.gov/sites/default/files/publications/OSHA3088.pdf,5,blocked_or_forbidden,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHA3088.pdf,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHA3088.pdf,,,downloaded,archive_replay,artifacts\pdf_source_backups_20260728\files\004_www.osha.gov_d5f3a672e9_OSHA3088.pdf,f01d011b0b1cc22cf3344c1b0d63fd52d028f742b6c55aa1c2760e33fc8a9c62,1614102,2026-07-28T09:48:03.218802+00:00,validated_pdf_magic_from_raw_wayback_replay
https://www.osha.gov/sites/default/files/publications/OSHA3678.pdf,4,blocked_or_forbidden,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHA3678.pdf,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHA3678.pdf,,,downloaded,archive_replay,artifacts\pdf_source_backups_20260728\files\005_www.osha.gov_2f0ead6589_OSHA3678.pdf,eaf4038ffea0d4dc5f35cdea451cb6092a890f189cfc25c4dd440f74e9f254f0,1181236,2026-07-28T09:48:12.701368+00:00,validated_pdf_magic_from_raw_wayback_replay
https://www.osha.gov/sites/default/files/publications/OSHAFACTSHEET-LABORATORY-SAFETY-CHEMICAL-HYGIENE-PLAN.pdf,4,blocked_or_forbidden,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHAFACTSHEET-LABORATORY-SAFETY-CHEMICAL-HYGIENE-PLAN.pdf,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHAFACTSHEET-LABORATORY-SAFETY-CHEMICAL-HYGIENE-PLAN.pdf,,,downloaded,archive_replay,artifacts\pdf_source_backups_20260728\files\006_www.osha.gov_567c79ad70_OSHAFACTSHEET-LABORATORY-SAFETY-CHEMICAL-HYGIENE-PLAN.pdf,4501c9375e31808a264ab9e5dbf949340282eaed92584750f766720014940240,402549,2026-07-28T09:48:18.828339+00:00,validated_pdf_magic_from_raw_wayback_replay
https://ehs.berkeley.edu/sites/default/files/publications/compressed-gas-proper-use-booklet.pdf,3,open,https://web.archive.org/web/2id_/https://ehs.berkeley.edu/sites/default/files/publications/compressed-gas-proper-use-booklet.pdf,https://web.archive.org/web/2id_/https://ehs.berkeley.edu/sites/default/files/publications/compressed-gas-proper-use-booklet.pdf,,,downloaded,archive_replay,artifacts\pdf_source_backups_20260728\files\007_ehs.berkeley.edu_a063a7746b_compressed-gas-proper-use-booklet.pdf,51181f477107d2c526b8f7b0e6a056c4aec1d879c5252a43c53428f36872b019,715617,2026-07-28T09:48:24.618304+00:00,validated_pdf_magic_from_raw_wayback_replay
https://www.nrc.gov/docs/ML2014/ML20147A696.pdf,3,open,,,,,failed,,,,,2026-07-28T09:48:37.231440+00:00,"powershell exit 1: Invoke-WebRequest : 请求被中止: 连接被意外关闭。
At line:1 char:235
+ ... pe]::Tls13; Invoke-WebRequest -Uri $Url -OutFile $OutFile -MaximumRed ...
+                 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
https://www.osha.gov/sites/default/files/publications/OSHAFACTSHEET-LABORATORY-SAFETY-OSHA-LAB-STANDARD.pdf,3,blocked_or_forbidden,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHAFACTSHEET-LABORATORY-SAFETY-OSHA-LAB-STANDARD.pdf,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHAFACTSHEET-LABORATORY-SAFETY-OSHA-LAB-STANDARD.pdf,,,downloaded,archive_replay,artifacts\pdf_source_backups_20260728\files\009_www.osha.gov_ab2c082214_OSHAFACTSHEET-LABORATORY-SAFETY-OSHA-LAB-STANDARD.pdf,b7e0e3b51b035e288a6a7b159c6321c370a17333e6d39bb584a25bfabfa94e3f,403077,2026-07-28T09:48:41.218591+00:00,validated_pdf_magic_from_raw_wayback_replay
https://www.nrc.gov/docs/ML0133/ML013330106.pdf,2,open,https://web.archive.org/web/2id_/https://www.nrc.gov/docs/ML0133/ML013330106.pdf,https://web.archive.org/web/2id_/https://www.nrc.gov/docs/ML0133/ML013330106.pdf,,,downloaded,archive_replay,artifacts\pdf_source_backups_20260728\files\010_www.nrc.gov_6b69602e3e_ML013330106.pdf,d1cc9b168f411ead01c6beeb1341b2d02acb810052944036f705524c04ed95bd,10392186,2026-07-28T09:49:36.500572+00:00,validated_pdf_magic_from_raw_wayback_replay
https://www.nrc.gov/docs/ML0809/ML080910098.pdf,2,open,https://web.archive.org/web/2id_/https://www.nrc.gov/docs/ML0809/ML080910098.pdf,https://web.archive.org/web/2id_/https://www.nrc.gov/docs/ML0809/ML080910098.pdf,,,downloaded,archive_replay,artifacts\pdf_source_backups_20260728\files\011_www.nrc.gov_4661509190_ML080910098.pdf,e91654111cd05a1f53b6596965827b67fa4560232a3bd5e981209f9c3f3766ee,6227942,2026-07-28T09:50:07.820144+00:00,validated_pdf_magic_from_raw_wayback_replay
https://www.nrc.gov/docs/ML2517/ML25175A081.pdf,2,open,https://web.archive.org/web/2id_/https://www.nrc.gov/docs/ML2517/ML25175A081.pdf,https://web.archive.org/web/2id_/https://www.nrc.gov/docs/ML2517/ML25175A081.pdf,,,downloaded,archive_replay,artifacts\pdf_source_backups_20260728\files\012_www.nrc.gov_9600f77148_ML25175A081.pdf,746f28d1e690f5322c10d9eff31b24f8671955b8585c55091decd4a930d05005,1208570,2026-07-28T09:50:17.049136+00:00,validated_pdf_magic_from_raw_wayback_replay
https://www.nrc.gov/docs/ml1019/ML101900087.pdf,2,open,https://web.archive.org/web/2id_/https://www.nrc.gov/docs/ml1019/ML101900087.pdf,https://web.archive.org/web/2id_/https://www.nrc.gov/docs/ml1019/ML101900087.pdf,,,downloaded,archive_replay,artifacts\pdf_source_backups_20260728\files\013_www.nrc.gov_2f3f53aafe_ML101900087.pdf,2100086250160bc77bb619cfa7b410bab7cac8863d7bf3e9a62300c01315338c,206986,2026-07-28T09:50:24.706505+00:00,validated_pdf_magic_from_raw_wayback_replay
https://www.osha.gov/sites/default/files/publications/FORMALDEHYDE-FACTSHEET.pdf,2,blocked_or_forbidden,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/FORMALDEHYDE-FACTSHEET.pdf,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/FORMALDEHYDE-FACTSHEET.pdf,,,downloaded,archive_replay,artifacts\pdf_source_backups_20260728\files\014_www.osha.gov_6b779ab17e_FORMALDEHYDE-FACTSHEET.pdf,887aee256d8c56a83c6ca5c18236bbd5ceaa2e205a2d57a9f440d714953087ff,1078638,2026-07-28T09:50:49.853456+00:00,validated_pdf_magic_from_raw_wayback_replay
https://www.osha.gov/sites/default/files/publications/OSHA3071.pdf,2,blocked_or_forbidden,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHA3071.pdf,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHA3071.pdf,,,downloaded,archive_replay,artifacts\pdf_source_backups_20260728\files\015_www.osha.gov_2200a64589_OSHA3071.pdf,36a87091b6b212b6ff84789e411d76543073fef0673d2c903ca1a099a62a430f,492885,2026-07-28T09:51:12.927988+00:00,validated_pdf_magic_from_raw_wayback_replay
https://www.osha.gov/sites/default/files/publications/OSHA3151.pdf,2,blocked_or_forbidden,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHA3151.pdf,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHA3151.pdf,,,downloaded,archive_replay,artifacts\pdf_source_backups_20260728\files\016_www.osha.gov_e1dfae08d0_OSHA3151.pdf,1d6cf79ee848af930b952d20bcf33d62b5094f4580ab52f126dfb841091d8d70,572471,2026-07-28T09:51:25.123858+00:00,validated_pdf_magic_from_raw_wayback_replay
https://www.osha.gov/sites/default/files/publications/OSHA4480.pdf,2,blocked_or_forbidden,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHA4480.pdf,https://web.archive.org/web/2id_/https://www.osha.gov/sites/default/files/publications/OSHA4480.pdf,,,downloaded,archive_replay,artifacts\pdf_source_backups_20260728\files\017_www.osha.gov_b80c075541_OSHA4480.pdf,645ef82044869a98133b114fcdf93fa323f92b69443b0c4e1eb61536d43b0f0f,293248,2026-07-28T09:51:31.697368+00:00,validated_pdf_magic_from_raw_wayback_replay
https://ehs.berkeley.edu/sites/default/files/publications/tcp-gas-program.pdf,1,open,https://web.archive.org/web/20220308225039id_/https://ehs.berkeley.edu/sites/default/files/publications/tcp-gas-program.pdf,https://web.archive.org/web/20220308225039id_/https://ehs.berkeley.edu/sites/default/files/publications/tcp-gas-program.pdf,200,application/pdf,downloaded,archive_replay,artifacts\pdf_source_backups_20260728\files\018_ehs.berkeley.edu_169195031b_tcp-gas-program.pdf,3c36af4cdd31ea9f31bd203cde720cef52650b9a999c2f7970238a06d490b58b,890676,2026-07-28T10:11:44.967523+00:00,validated_pdf_magic; alternate provenance explicitly recorded
https://tools.thermofisher.com/content/sfs/manuals/iCAP%206000%20Spectrometers%20Pre-Installation%20Manual%20v4%202.pdf,1,blocked_or_forbidden,https://web.archive.org/web/2id_/https://tools.thermofisher.com/content/sfs/manuals/iCAP%206000%20Spectrometers%20Pre-Installation%20Manual%20v4%202.pdf,https://web.archive.org/web/2id_/https://tools.thermofisher.com/content/sfs/manuals/iCAP%206000%20Spectrometers%20Pre-Installation%20Manual%20v4%202.pdf,,,downloaded,archive_replay,artifacts\pdf_source_backups_20260728\files\019_tools.thermofisher.com_8d358f2066_iCAP_6000_Spectrometers_Pre-Installation_Manual_v4_2.pdf,ebd599dbd59e22bbd676d71d93833d81dae2af71a542c85cbbbc9cf04c5930c5,500186,2026-07-28T09:51:59.033934+00:00,validated_pdf_magic_from_raw_wayback_replay
https://www.nrc.gov/docs/ML0822/ML082280814.pdf,1,open,https://web.archive.org/web/2id_/https://www.nrc.gov/docs/ML0822/ML082280814.pdf,https://web.archive.org/web/2id_/https://www.nrc.gov/docs/ML0822/ML082280814.pdf,,,downloaded,archive_replay,artifacts\pdf_source_backups_20260728\files\020_www.nrc.gov_a4a5ad0c99_ML082280814.pdf,91266baf167148becf990cc070782e7b10bb9b9e729f32910dcf1e4784931a09,2543544,2026-07-28T09:52:11.929429+00:00,validated_pdf_magic_from_raw_wayback_replay
https://www.nrc.gov/docs/ML0827/ML082750235.pdf,1,open,https://web.archive.org/web/2id_/https://www.nrc.gov/docs/ML0827/ML082750235.pdf,https://web.archive.org/web/2id_/https://www.nrc.gov/docs/ML0827/ML082750235.pdf,,,downloaded,archive_replay,artifacts\pdf_source_backups_20260728\files\021_www.nrc.gov_c359985a3a_ML082750235.pdf,41a8fc9c41372173325c5b8ac03b09184314fd40d651bc025e046305e34a4123,78339,2026-07-28T09:52:16.994245+00:00,validated_pdf_magic_from_raw_wayback_replay
https://www.nrc.gov/docs/ML1204/ML12044A227.pdf,1,open,https://web.archive.org/web/2id_/https://www.nrc.gov/docs/ML1204/ML12044A227.pdf,https://web.archive.org/web/2id_/https://www.nrc.gov/docs/ML1204/ML12044A227.pdf,,,downloaded,archive_replay,artifacts\pdf_source_backups_20260728\files\022_www.nrc.gov_17858c3c34_ML12044A227.pdf,9a4f48157e76eee994be53942b5901a6b545ec6fdc39e452009e7409a4da3eec,1153659,2026-07-28T09:52:23.685255+00:00,validated_pdf_magic_from_raw_wayback_replay
