index,source_url,row_count,traceability_status,attempted_url,final_url,http_status,content_type,status,backup_kind,local_path,sha256,size_bytes,retrieved_at,notes
2,https://ors.od.nih.gov/sr/dohs/Documents/chemical-hygiene-plan.pdf,78,open,https://ors.od.nih.gov/sr/dohs/Documents/chemical-hygiene-plan.pdf,https://ors.od.nih.gov/sr/dohs/Documents/chemical-hygiene-plan.pdf,200,application/pdf,downloaded,direct_original,artifacts\pdf_source_backups_20260803\files\002_ors.od.nih.gov_be7b971876_chemical-hygiene-plan.pdf,845c21d4bfd6fc19ea757afcf58840cb0d1ef49092ed6a49af7f4e053d291d8d,360040,2026-08-03T14:33:01.436944+00:00,
3,https://ehs.yale.edu/sites/default/files/files/laboratory-chemical-hygiene-plan.pdf,75,open,https://ehs.yale.edu/resource/download/2031,https://ehs.yale.edu/resource/download/2031,200,application/pdf,downloaded,direct_original,artifacts\pdf_source_backups_20260803\files\003_ehs.yale.edu_9b3d0cd530_laboratory-chemical-hygiene-plan.pdf,177d10b929cc1cb6bc6b550897831871266c8d7190b70a2fbda813b280d5eaf6,1175846,2026-08-03T14:34:11.639656+00:00,redirected to https://ehs.yale.edu/resource/laboratory-chemical-hygiene-plan
4,https://ors.od.nih.gov/sr/dohs/Documents/chemical-safety-guide.pdf,70,open,https://ors.od.nih.gov/sr/dohs/Documents/chemical-safety-guide.pdf,https://ors.od.nih.gov/sr/dohs/Documents/chemical-safety-guide.pdf,200,application/pdf,downloaded,direct_original,artifacts\pdf_source_backups_20260803\files\004_ors.od.nih.gov_48d93d8947_chemical-safety-guide.pdf,bc95e322aadfa63f251b1ed4a4ed22a30ee261dcfd0f1abf43e77afac9d44770,1473783,2026-08-03T14:38:11.679722+00:00,
5,https://ors.od.nih.gov/sr/dohs/Documents/biosafety-in-microbiological-and-biomedical-laboratories.PDF,67,open,https://ors.od.nih.gov/sr/dohs/Documents/biosafety-in-microbiological-and-biomedical-laboratories.PDF,https://ors.od.nih.gov/sr/dohs/Documents/biosafety-in-microbiological-and-biomedical-laboratories.PDF,200,application/pdf,downloaded,direct_original,artifacts\pdf_source_backups_20260803\files\005_ors.od.nih.gov_be77175599_biosafety-in-microbiological-and-biomedical-laboratories.PDF,bedfedd06ecbc8dae1d71d370a77570bacc34c95985795b4effa72f06373a613,4559461,2026-08-03T14:42:11.741380+00:00,first attempt truncated at 15292 bytes; completed via HTTP range resume (curl -C -)
15,https://ehs.yale.edu/sites/default/files/files/ppe-procedure-labs.pdf,10,open,https://ehs.yale.edu/resource/download/1968,https://ehs.yale.edu/resource/download/1968,200,application/pdf,downloaded,direct_original,artifacts\pdf_source_backups_20260803\files\015_ehs.yale.edu_057ec811be_ppe-procedure-labs.pdf,9396c0a821fa8f589c3f1470a5350e539ac638b15ec62b356f53579579259ab5,396978,2026-08-03T14:43:08.418074+00:00,redirected to https://ehs.yale.edu/resource/laboratory-personal-protective-equipment-assessment
17,https://ehs.yale.edu/sites/default/files/files/chemicals-ehs-approval.pdf,8,open,https://ehs.yale.edu/resource/download/150,https://ehs.yale.edu/resource/download/150,200,application/pdf,downloaded,direct_original,artifacts\pdf_source_backups_20260803\files\017_ehs.yale.edu_13b864d03b_chemicals-ehs-approval.pdf,36fad00ced84d03fe8017459a68ff686e30e65b234b3cfa158783de1fe3619a9,214637,2026-08-03T14:43:11.292364+00:00,redirected to https://ehs.yale.edu/resource/chemicals-requiring-ehs-pre-approval
18,https://ehs.yale.edu/sites/default/files/files/gene-drive-modified-organisms.pdf,8,open,https://ehs.yale.edu/resource/download/964,https://ehs.yale.edu/resource/download/964,200,application/pdf,downloaded,direct_original,artifacts\pdf_source_backups_20260803\files\018_ehs.yale.edu_185995e918_gene-drive-modified-organisms.pdf,7fd4c330a879b701b27d1433022dfd7e8d8ec546909f628ba3aa789b3978edbb,113148,2026-08-03T14:43:14.077944+00:00,redirected to https://ehs.yale.edu/resource/gene-drive-modified-organisms
24,https://ors.od.nih.gov/sr/dohs/Documents/cryogen-fact-sheet.pdf,5,open,https://ors.od.nih.gov/sr/dohs/Documents/cryogen-fact-sheet.pdf,https://ors.od.nih.gov/sr/dohs/Documents/cryogen-fact-sheet.pdf,200,application/pdf,downloaded,direct_original,artifacts\pdf_source_backups_20260803\files\024_ors.od.nih.gov_2f15241d34_cryogen-fact-sheet.pdf,ddd067516d844c00a4ce0c9fa492e5d42d87b8a79369958ba0d311a3f33dd2b1,2112444,2026-08-03T14:47:14.132721+00:00,
25,https://ehs.yale.edu/sites/default/files/files/laser-sop.pdf,4,open,https://ehs.yale.edu/resource/download/382,https://ehs.yale.edu/resource/download/382,200,application/pdf,downloaded,direct_original,artifacts\pdf_source_backups_20260803\files\025_ehs.yale.edu_0448ab9fe8_laser-sop.pdf,858c293daa4736a5df41cee5cc32d88c974224c4a6071985fdc66fe4ab279df2,144569,2026-08-03T14:47:34.016742+00:00,redirected to https://ehs.yale.edu/resource/laser-standard-operating-procedure
28,https://ehs.yale.edu/sites/default/files/files/fume-hood-repair-notice.pdf,3,open,https://ehs.yale.edu/resource/download/162,https://ehs.yale.edu/resource/download/162,200,application/pdf,downloaded,direct_original,artifacts\pdf_source_backups_20260803\files\028_ehs.yale.edu_a87c5d206f_fume-hood-repair-notice.pdf,4ed1c6057438f36e133924c32cce68b6cfb2d888cd11a6664e50df6e43cb3060,28026,2026-08-03T14:47:37.472951+00:00,redirected to https://ehs.yale.edu/resource/fume-hood-repair-notice
