source_url,row_count,cache_20260429_sha256,cache_bytes,cache_path,cache_complete,refetch_20260803_sha256,refetch_bytes,refetch_complete,verdict
https://www.cdc.gov/labs/pdf/SF__19_308133-A_BMBL6_00-BOOK-WEB-final-3.pdf,139,9195fc92a4c9dd49c52d9e30dc3c74912eca565d316f09d0a2c54a6777b31931,4953083,artifacts\web_ingest_public_20260429\raw\CDC-BMBL6_SF__19_308133-A_BMBL6_00-BOOK-WEB-final-3.pdf.pdf,yes,9195fc92a4c9dd49c52d9e30dc3c74912eca565d316f09d0a2c54a6777b31931,4953083,yes,identical
https://ors.od.nih.gov/sr/dohs/Documents/chemical-hygiene-plan.pdf,78,97fbadccf8b9341e5f87f7f296768d9afb318ab9f86539e277adc9122a07da1f,1750513,artifacts\web_ingest_public_20260429\raw\NIH-CHP_chemical-hygiene-plan.pdf.pdf,yes,97fbadccf8b9341e5f87f7f296768d9afb318ab9f86539e277adc9122a07da1f,1750513,yes,identical
https://ehs.yale.edu/sites/default/files/files/laboratory-chemical-hygiene-plan.pdf,75,177d10b929cc1cb6bc6b550897831871266c8d7190b70a2fbda813b280d5eaf6,1175846,artifacts\web_ingest_public_20260429\raw\YALE-CHP_laboratory-chemical-hygiene-plan.pdf.pdf,yes,177d10b929cc1cb6bc6b550897831871266c8d7190b70a2fbda813b280d5eaf6,1175846,yes,identical
https://ors.od.nih.gov/sr/dohs/Documents/chemical-safety-guide.pdf,70,01063ea35615fa021e6ff00cc5f0b6aa626b4f8c5004a226fcb5a23650e9f98d,38877910,artifacts\web_ingest_public_20260429\raw\NIH-CSG_chemical-safety-guide.pdf.pdf,yes,8d1b0a1eae7d293294c3332e92828eda8c3540baf0d74bf663cd017586f98109,8005335,no,refetch_incomplete
https://ors.od.nih.gov/sr/dohs/Documents/biosafety-in-microbiological-and-biomedical-laboratories.PDF,67,bedfedd06ecbc8dae1d71d370a77570bacc34c95985795b4effa72f06373a613,4559461,artifacts\web_ingest_public_20260429\raw\NIH-BMBL6_biosafety-in-microbiological-and-biomedical-laboratories.PDF.pdf,yes,bedfedd06ecbc8dae1d71d370a77570bacc34c95985795b4effa72f06373a613,4559461,yes,identical
https://ors.od.nih.gov/sr/dohs/Documents/exposure-control-plan.pdf,50,9d93d7d49557975c28b1fcd3d8043d70d32aaf79f2ae02a9345b2aa669041de4,416109,artifacts\web_ingest_public_20260429\raw\NIH-ECP_exposure-control-plan.pdf.pdf,yes,9d93d7d49557975c28b1fcd3d8043d70d32aaf79f2ae02a9345b2aa669041de4,416109,yes,identical
https://ors.od.nih.gov/sr/dohs/Documents/laser-safety-program.pdf,34,433f5eafa94cfeae387599c21addfe8c876ccf7a09c262646b2d382db703aa00,965515,artifacts\web_ingest_public_20260429\raw\NIH-LASER_laser-safety-program.pdf.pdf,yes,433f5eafa94cfeae387599c21addfe8c876ccf7a09c262646b2d382db703aa00,965515,yes,identical
https://ors.od.nih.gov/sr/dohs/Documents/compressed-gas-and-cryogen-safety-guidelines-document.pdf,25,4fa7aa1700006ebc6aea39380684ce5abd5f35a64be49100c9433410b60985ff,776401,artifacts\web_ingest_public_20260429\raw\NIH-GAS-CRYO_compressed-gas-and-cryogen-safety-guidelines-document.pdf.pdf,yes,4fa7aa1700006ebc6aea39380684ce5abd5f35a64be49100c9433410b60985ff,776401,yes,identical
https://ors.od.nih.gov/sr/dohs/Documents/managing-pyrophoric-and-water-reactive-chemicals-in-the-laboratories.pdf,18,e36638a27957245fc8290d20df4b0fd1855977e086aaaf1b8dec106705595257,354828,artifacts\web_ingest_public_20260429\raw\NIH-PYRO_managing-pyrophoric-and-water-reactive-chemicals-in-the-laboratories.pdf.pdf,yes,e36638a27957245fc8290d20df4b0fd1855977e086aaaf1b8dec106705595257,354828,yes,identical
https://ors.od.nih.gov/sr/dohs/Documents/nih-dichloromethane-health-and-safety-plan.pdf,18,2b5e79d0d115e9f5899d1de747a7bf78b3b0104975f279747d51a74eaf62b11c,356312,artifacts\web_ingest_public_20260429\raw\NIH-DCM-PLAN_nih-dichloromethane-health-and-safety-plan.pdf.pdf,yes,2b5e79d0d115e9f5899d1de747a7bf78b3b0104975f279747d51a74eaf62b11c,356312,yes,identical
https://ors.od.nih.gov/sr/dohs/Documents/chemical-segregation-and-storage.pdf,16,d1c278d437aebddbe0536779d29063bf85074d6563d6ab8b35e40b62dea3ddf2,681833,artifacts\web_ingest_public_20260429\raw\NIH-SEG_chemical-segregation-and-storage.pdf.pdf,yes,d1c278d437aebddbe0536779d29063bf85074d6563d6ab8b35e40b62dea3ddf2,681833,yes,identical
https://ors.od.nih.gov/sr/dohs/Documents/laboratory-coat-selection-guidance.pdf,14,f4c098be6c8d12d23bf59f6e5254669b6e28129219ce3b094efc0e5593bfa016,162799,artifacts\web_ingest_public_20260429\raw\NIH-LABCOAT_laboratory-coat-selection-guidance.pdf.pdf,yes,f4c098be6c8d12d23bf59f6e5254669b6e28129219ce3b094efc0e5593bfa016,162799,yes,identical
