captured_at,health_status,health_ok,dify_reachable,meta_status,knowledge_base_rows,knowledge_base_imported,knowledge_base_chunked,knowledge_base_external,stats_status,recent_count,recent_avg_ms,recent_p50_ms,recent_p95_ms,recent_max_ms,recent_cache_hit_rate,runtime_started_at,runtime_pid,runtime_url,dify_host
2026-06-16T11:12:41,200,True,False,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-06-16T11:12:07,15968,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-06-16T11:17:33,200,True,True,200,3009,3009,3164,1159,200,1,201.0,201.0,201.0,201.0,0.0,2026-06-16T11:12:07,15968,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-06-16T11:24:43,200,True,True,200,3009,3009,3164,1159,200,2,135.5,201.0,201.0,201.0,0.0,2026-06-16T11:12:07,15968,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-06-16T11:33:08,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-06-16T11:33:06,10416,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-06-17T16:22:26,200,True,False,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-06-17T16:22:21,25704,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-06-17T16:29:45,200,True,True,200,3009,3009,3164,1159,200,1,87.0,87.0,87.0,87.0,0.0,2026-06-17T16:22:21,25704,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-06-18T19:34:46,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-06-18T19:34:44,22948,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-06-18T19:37:40,200,True,True,200,3009,3009,3164,1159,200,1,436.0,436.0,436.0,436.0,0.0,2026-06-18T19:34:44,22948,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-06-20T16:58:23,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-06-20T16:58:22,22792,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-06-21T09:26:57,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-06-21T09:26:55,6472,http://127.0.0.1:8088,http://127.0.0.1:8080
