url,row_count,traceability_status,http_status,content_type,is_pdf_source,backup_kind,has_local_pdf,local_paths
http://ccc.chem.pitt.edu/wipf/papers&presentations/safety-manual.pdf,1,open,200,application/pdf,yes,original,yes,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\pdf_source_backups_20260725\files\031_ccc.chem.pitt.edu_54d69831fe_safety-manual.pdf
http://www.moe.gov.cn/s78/A16/tongzhi/201905/t20190529_383641.html,1,open,200,text/html,no,none,no,
http://www.moe.gov.cn/srcsite/A16/s3336/201905/t20190531_383962.html,5,open,200,text/html,no,none,no,
http://www.nxmu.edu.cn/lnjbzdsys/info/1094/1283.htm,1,open,200,text/html,no,none,no,
https://adrona.lv/wp-content/uploads/2023/08/TGA-4000-Specifiactions_English.pdf,1,open,200,application/pdf,yes,original,yes,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\pdf_source_backups_20260725\files\032_adrona.lv_290b901468_TGA-4000-Specifiactions_English.pdf
https://archive.epa.gov/epawaste/hazard/tsd/td/web/html/combustion.html,1,open,200,text/html,no,none,no,
https://assets.thermofisher.com/TFS-Assets/LSG/manuals/MAN0016959_GAHyPerformanceAPTSKit_UG.pdf,1,open,200,application/pdf,yes,original,yes,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\pdf_source_backups_20260725\files\033_assets.thermofisher.com_f762746cf1_MAN0016959_GAHyPerformanceAPTSKit_UG.pdf
https://blink.ucsd.edu/safety/research-lab/chemical/hoods/,6,open,200,text/html; charset=UTF-8,no,original,no,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\web_ingest_public_20260429\raw\UCSD-FUME-HOODS_hoods.html
https://blink.ucsd.edu/safety/research-lab/hazardous-waste/disposal-guidance/extremely.html,14,open,200,text/html; charset=UTF-8,no,original,no,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\web_ingest_public_20260429\raw\UCSD-EXTREME-WASTE_extremely.html.html
https://ccce.csu.edu.cn/info/1591/7436.htm,1,open,200,text/html,no,none,no,
https://cem.com/how-safe-is-the-instrument/microwave-digestion,1,open,200,text/html; charset=UTF-8,no,none,no,
https://cem.com/why-can-t-i-use-a-home-microwave-for-acid-digestion-or-extraction,1,open,200,text/html; charset=UTF-8,no,none,no,
https://chem.fjnu.edu.cn/86/7f/c17280a362111/page.htm,1,open,200,text/html,no,none,no,
https://chemistry.stanford.edu/resources/environmental-health-lab-safety/general-resources,4,open,200,text/html; charset=UTF-8,no,none,no,
https://chemistry.unt.edu/system/files/tga_2_user_manual.pdf,4,open,200,application/pdf,yes,original,yes,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\pdf_source_backups_20260725\files\retry_003_chemistry.unt.edu_0457e87f5b_tga_2_user_manual.pdf
https://chemlab.jhun.edu.cn/4b/ea/c4541a84970/pagem.htm,1,open,200,text/html,no,none,no,
https://coactionspecialty.safetynow.com/chemical-compatibility-storage-guidelines-quick-tips/,1,blocked_or_forbidden,403,text/html; charset=UTF-8,no,none,no,
https://community.agilent.com/cfs-filesystemfile/__key/communityserver-discussions-components-files/23/G7446_2D00_35102B-Agilent-magnetic-Resonance-systems.pdf,7,open,200,application/pdf,yes,original,yes,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\pdf_source_backups_20260725\files\004_community.agilent.com_85b1f6e3da_G7446_2D00_35102B-Agilent-magnetic-Resonance-systems.pdf
https://community.agilent.com/knowledge/icp-ms-portal/kmp/icp-ms-articles/kp1584.assembling-the-icp-ms-spray-chamber,1,open,200,text/html,no,none,no,
https://community.agilent.com/technical/consumables/w/wiki/3840/stay-safe-a-win-win-for-solvent-storage,1,open,200,text/html,no,none,no,
https://dehs.umn.edu/biological-safety-cabinets,1,blocked_or_forbidden,403,text/html; charset=UTF-8,no,none,no,
https://documents.thermofisher.com/TFS-Assets/CAD/Application-Notes/apex-te-mct-an64724-en.pdf,1,open,200,application/pdf,yes,original,yes,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\pdf_source_backups_20260725\files\034_documents.thermofisher.com_81500d1616_apex-te-mct-an64724-en.pdf
https://documents.thermofisher.com/TFS-Assets/CMD/brochures/sn-43363-icp-oes-aas-benefits-sn43363-en.pdf,3,open,200,application/pdf,yes,original,yes,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\pdf_source_backups_20260725\files\014_documents.thermofisher.com_9cd916ab6e_sn-43363-icp-oes-aas-benefits-sn43363-en.pdf
https://documents.thermofisher.com/TFS-Assets/CMD/manuals/Man-1R120706-0002-GC-MS-Q-Exactive-Man1R1207060002-EN.pdf,11,open,200,application/pdf,yes,original,yes,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\pdf_source_backups_20260725\files\retry_001_documents.thermofisher.com_5dbcf8b027_Man-1R120706-0002-GC-MS-Q-Exactive-Man1R1207060002-EN.pdf
https://documents.thermofisher.com/TFS-Assets/CMD/manuals/Man-4820-3601-LC-Vanquish-UHPLC-Man48203601-EN.pdf,10,blocked_or_forbidden,403,application/xml,yes,none,no,
https://documents.thermofisher.com/TFS-Assets/CMD/manuals/ii-1r120591-0001-isq-ec-ms-req-ii1r1205910001-en.pdf,3,open,200,application/pdf,yes,original,yes,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\pdf_source_backups_20260725\files\015_documents.thermofisher.com_01f08b18e8_ii-1r120591-0001-isq-ec-ms-req-ii1r1205910001-en.pdf
https://documents.thermofisher.com/TFS-Assets/LED/manuals/50155784-c-Thermo%20Scientific%20Sorvall%20ST%2016R-en.pdf,1,open,200,application/pdf,yes,original,yes,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\pdf_source_backups_20260725\files\035_documents.thermofisher.com_714ccaa72b_50155784-c-Thermo_Scientific_Sorvall_ST_16R-en.pdf
https://documents.thermofisher.com/TFS-Assets/LPD/Application-Notes/bsc-a2-b2-differences-appnote.pdf,1,open,200,application/pdf,yes,original,yes,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\pdf_source_backups_20260725\files\036_documents.thermofisher.com_be4be0cbb2_bsc-a2-b2-differences-appnote.pdf
https://documents.thermofisher.com/TFS-Assets/MSD/Product-Information/Summit-UG.pdf,5,open,200,application/pdf,yes,original,yes,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\pdf_source_backups_20260725\files\009_documents.thermofisher.com_3ad2bc480a_Summit-UG.pdf
https://documents.thermofisher.com/TFS-Assets/MSD/Technical-Notes/FL53370-gas-phase-ftir-smoke-toxicity-measurements.pdf,1,open,200,application/pdf,yes,original,yes,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\pdf_source_backups_20260725\files\037_documents.thermofisher.com_7491821c25_FL53370-gas-phase-ftir-smoke-toxicity-measurements.pdf
https://documents.thermofisher.com/TFS-Assets/MSD/manuals/summit-lite-site-and-safety-en.pdf,4,open,200,application/pdf,yes,original,yes,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\pdf_source_backups_20260725\files\011_documents.thermofisher.com_1a6f1ab4aa_summit-lite-site-and-safety-en.pdf
https://drs.illinois.edu/Page/SafetyLibrary/PerchloricAcid,1,open,200,text/html; charset=utf-8,no,none,no,
https://drs.illinois.edu/Page/SafetyLibrary/hydrofluoricacid,1,open,200,text/html; charset=utf-8,no,none,no,
https://eetc.qlu.edu.cn/2012/1207/c1403a25377/page.htm,1,open,200,text/html,no,none,no,
https://ehs.berkeley.edu/chemical-hygiene-plan/controlling-exposures,8,open,200,text/html; charset=utf-8,no,none,no,
https://ehs.berkeley.edu/chemical-hygiene-plan/training-requirements,3,open,200,text/html; charset=utf-8,no,none,no,
https://ehs.berkeley.edu/ehs-111-compressed-gas-safety,1,open,200,text/html; charset=utf-8,no,none,no,
https://ehs.berkeley.edu/how-do-i-set-new-lab-0,2,open,200,text/html; charset=utf-8,no,none,no,
https://ehs.berkeley.edu/laboratory-safety-manual,7,open,200,text/html; charset=utf-8,no,original,no,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\web_ingest_public_20260429\raw\BERKELEY-LSM_laboratory-safety-manual.html
https://ehs.berkeley.edu/laser-safety-manual,1,open,200,text/html; charset=utf-8,no,original,no,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\web_ingest_public_20260429\raw\BERKELEY-LASER_laser-safety-manual.html
https://ehs.berkeley.edu/news/corrosive-waste-spill,1,open,200,text/html; charset=utf-8,no,none,no,
https://ehs.berkeley.edu/news/radiation-safety-awareness-training-update,1,open,200,text/html; charset=utf-8,no,none,no,
https://ehs.berkeley.edu/publications/biological-safety-program-manual,1,open,200,text/html; charset=utf-8,no,original,no,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\web_ingest_public_20260429\raw\BERKELEY-BIOSAFETY_biological-safety-program-manual.html
https://ehs.berkeley.edu/publications/drain-disposal-restrictions-chemicals-0,1,open,200,text/html; charset=utf-8,no,none,no,
https://ehs.berkeley.edu/radiation-safety-manual/6-procedures-work-radioactive-materials,1,open,200,text/html; charset=utf-8,no,none,no,
https://ehs.berkeley.edu/safe-storage-hazardous-chemicals/511-peroxide-forming-chemicals,1,open,200,text/html; charset=utf-8,no,none,no,
https://ehs.berkeley.edu/safe-storage-hazardous-chemicals/56-compressed-gases,1,open,200,text/html; charset=utf-8,no,none,no,
https://ehs.berkeley.edu/safe-storage-hazardous-chemicals/57-cryogens,1,open,200,text/html; charset=utf-8,no,none,no,
https://ehs.berkeley.edu/safety-subjects/chemical-safety/chemical-hygiene-plan,9,open,200,text/html; charset=utf-8,no,original,no,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\web_ingest_public_20260429\raw\BERKELEY-CHP_chemical-hygiene-plan.html
https://ehs.berkeley.edu/safety-subjects/chemical-safety/chemical-inventory,1,open,200,text/html; charset=utf-8,no,none,no,
https://ehs.berkeley.edu/sites/default/files/publications/compressed-gas-proper-use-booklet.pdf,3,open,200,text/html; charset=utf-8,yes,none,no,
https://ehs.berkeley.edu/sites/default/files/publications/tcp-gas-program.pdf,1,open,200,text/html; charset=utf-8,yes,none,no,
https://ehs.berkeley.edu/workplace-safety/identifying-hazards-and-applying-controls,1,open,200,text/html; charset=utf-8,no,none,no,
https://ehs.cornell.edu/book/export/html/1050,2,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/book/export/html/1060,2,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/book/export/html/1083,1,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/book/export/html/1097,2,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/book/export/html/1261,117,open,200,text/html; charset=UTF-8,no,original,no,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\web_ingest_public_20260429\raw\CORNELL-HW-MANUAL_1261.html
https://ehs.cornell.edu/book/export/html/1325,1,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/book/export/html/1370,4,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/book/export/html/1375,1,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/book/export/html/1397,1,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/book/export/html/1399,11,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/book/export/html/1410,1,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/book/export/html/1446,3,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/book/export/html/2139,1,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/book/export/html/237,163,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/manuals/hazardous-waste-manual,12,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/biosafety-biosecurity/animal-biosafety,1,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/biosafety-biosecurity/biological-safety-manuals-and-other-documents,3,open,200,text/html; charset=UTF-8,no,original,no,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\web_ingest_public_20260429\raw\CORNELL-BIOSAFETY-DOCS_biological-safety-manuals-and-other-documents.html
https://ehs.cornell.edu/research-safety/biosafety-biosecurity/biological-safety-manuals-and-other-documents/autoclaves,1,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/biosafety-biosecurity/biological-safety-manuals-and-other-documents/centrifuges,1,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/biosafety-biosecurity/biological-safety-manuals-and-other-documents/responding-biological-spills,2,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/chemical-safety/chemical-hygiene-plan,15,open,200,text/html; charset=UTF-8,no,original,no,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\web_ingest_public_20260429\raw\CORNELL-CHP_chemical-hygiene-plan.html
https://ehs.cornell.edu/research-safety/chemical-safety/chemical-inventory,1,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual,48,open,200,text/html; charset=UTF-8,no,original,no,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\web_ingest_public_20260429\raw\CORNELL-LSM_laboratory-safety-manual.html
https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/appendix-f-glove-selection-guidance,2,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/appendix-i-hazards-functional-groups,3,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/appendix-j-peroxide-forming-chemicals,2,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/appendix-k-incompatible-chemicals,10,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/chapter-10-hazardous-chemical-waste,1,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/chapter-15-laser-hazards,1,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/chapter-16-physical-hazards,4,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/chapter-16-physical-hazards/1610,2,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/chapter-16-physical-hazards/1612-glass,2,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/chapter-16-physical-hazards/164,3,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/chapter-16-physical-hazards/166-heat-and,5,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/chapter-2-engineering-controls,1,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/chapter-4-administrative-controls/415,1,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/chapter-4-administrative-controls/47,1,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/chapter-5-emergency-preparation/53-0,1,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/chapter-5-emergency-preparation/54-1,1,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/chapter-5-emergency-preparation/54-2,1,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/chapter-5-emergency-preparation/54-4,1,open,200,text/html; charset=UTF-8,no,none,no,
