sample_id,url,domain,affected_rows,old_status,new_script_status,browser_status,final_url,page_title,evidence_note
BROWSER-01,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1450,www.osha.gov,133,blocked_or_forbidden,blocked_or_forbidden,web_reader_open_html,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1450,OSHA 1910.1450,official HTML content retrieved; manual web-reader review 2026-07-28
BROWSER-02,https://www.osha.gov/sites/default/files/publications/OSHA3404LABORATORY-SAFETY-GUIDANCE.pdf,www.osha.gov,29,blocked_or_forbidden,blocked_or_forbidden,web_reader_open_pdf,https://www.osha.gov/sites/default/files/publications/OSHA3404LABORATORY-SAFETY-GUIDANCE.pdf,OSHA 3404 Laboratory Safety Guidance,PDF opened; 52 pages; manual web-reader review 2026-07-28
BROWSER-03,https://www.cdc.gov/labs/BMBL.html,www.cdc.gov,27,blocked_or_forbidden,blocked_or_forbidden,web_reader_open_html,https://www.cdc.gov/labs/bmbl/,BMBL 6th Edition,redirected canonical CDC HTML retrieved; manual web-reader review 2026-07-28
BROWSER-04,https://www.osha.gov/laser-hazards/hazards,www.osha.gov,23,blocked_or_forbidden,blocked_or_forbidden,web_reader_open_html,https://www.osha.gov/laser-hazards/hazards,Laser Hazards,official OSHA HTML retrieved; manual web-reader review 2026-07-28
BROWSER-05,https://www.cdc.gov/mmwr/preview/mmwrhtml/su6101a1.htm,www.cdc.gov,14,blocked_or_forbidden,blocked_or_forbidden,web_reader_open_html,https://www.cdc.gov/mmwr/preview/mmwrhtml/su6101a1.htm,CDC MMWR,official CDC HTML retrieved; manual web-reader review 2026-07-28
BROWSER-06,https://documents.thermofisher.com/TFS-Assets/CMD/manuals/Man-4820-3601-LC-Vanquish-UHPLC-Man48203601-EN.pdf,documents.thermofisher.com,10,blocked_or_forbidden,blocked_or_forbidden,web_reader_error,https://documents.thermofisher.com/TFS-Assets/CMD/manuals/Man-4820-3601-LC-Vanquish-UHPLC-Man48203601-EN.pdf,,reader internal error; manual web-reader review 2026-07-28
BROWSER-07,https://www.osha.gov/workers/employer-responsibilities,www.osha.gov,9,blocked_or_forbidden,blocked_or_forbidden,web_reader_open_html,https://www.osha.gov/workers/employer-responsibilities,Employer Responsibilities,official OSHA HTML retrieved; manual web-reader review 2026-07-28
BROWSER-08,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=EB3B94B543F6E4CD18C044DE6AB64CEC,openstd.samr.gov.cn,8,blocked_or_forbidden,blocked_or_forbidden,web_reader_open_html,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=EB3B94B543F6E4CD18C044DE6AB64CEC,GB 19489 source page,SAMR HTML retrieved; manual web-reader review 2026-07-28
BROWSER-09,https://www.cdc.gov/labs/bmbl/,www.cdc.gov,8,blocked_or_forbidden,blocked_or_forbidden,web_reader_open_html,https://www.cdc.gov/labs/bmbl/,BMBL 6th Edition,official CDC HTML retrieved; manual web-reader review 2026-07-28
BROWSER-10,https://www.nrc.gov/about-nrc/radiation/protects-you/protection-principles.html,www.nrc.gov,7,blocked_or_forbidden,blocked_or_forbidden,web_reader_open_html,https://www.nrc.gov/about-nrc/radiation/protects-you/protection-principles.html,Protection Principles,official NRC HTML retrieved; manual web-reader review 2026-07-28
BROWSER-11,https://www.nrc.gov/reading-rm/doc-collections/cfr/part020/,www.nrc.gov,7,blocked_or_forbidden,blocked_or_forbidden,web_reader_blocked,https://unblock.federalregister.gov,Request Access,redirected to anti-automation CAPTCHA; manual web-reader review 2026-07-28
BROWSER-12,https://www.osha.gov/hazcom/appendix-c,www.osha.gov,7,blocked_or_forbidden,blocked_or_forbidden,web_reader_open_html,https://www.osha.gov/hazcom/appendix-c,Hazard Communication Appendix C,official OSHA HTML retrieved; manual web-reader review 2026-07-28
BROWSER-13,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1200,www.osha.gov,7,blocked_or_forbidden,blocked_or_forbidden,web_reader_open_html,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1200,1910.1200 Hazard Communication,official OSHA HTML retrieved; manual web-reader review 2026-07-28
BROWSER-14,https://osp.od.nih.gov/wp-content/uploads/NIH_Guidelines.pdf,osp.od.nih.gov,5,blocked_or_forbidden,blocked_or_forbidden,web_reader_open_pdf,https://osp.od.nih.gov/wp-content/uploads/NIH_Guidelines.pdf,NIH Guidelines,PDF opened; 132 pages; manual web-reader review 2026-07-28
BROWSER-15,https://www.cdc.gov/labs/bmbl.html,www.cdc.gov,5,blocked_or_forbidden,blocked_or_forbidden,web_reader_open_html,https://www.cdc.gov/labs/bmbl/,BMBL 6th Edition,redirected canonical CDC HTML retrieved; manual web-reader review 2026-07-28
