source_url,evidence_url,evidence_kind,evidence_verified,verification_channel,local_path,sha256,size_bytes,verified_at,notes
https://www.agilent.com/cs/library/sitepreparationchecklists/Agilent%208890%20GC%20Site%20Preparation%20Checklist.pdf,https://www.agilent.com/cs/library/usermanuals/public/usermanual-gc-siteprep-8890-g3540-90012-en-agilent.pdf,official_canonical_replacement,yes,official-domain search index / canonical page,,,,2026-07-28T10:00:00+00:00,Agilent 官方新版 8890 GC Site Preparation Guide；搜索索引返回完整清单正文。
https://www.agilent.com/cs/library/usermanuals/public/7890A%20GC%20User%20Manual%20Collection.pdf,https://www.agilent.com/cs/library/usermanuals/public/7890A%20GC%20User%20Manual%20Collection.pdf,official_search_index,yes,official-domain search index / canonical page,,,,2026-07-28T10:00:00+00:00,Agilent 官方 PDF 搜索索引返回安全章节正文与常见风险列表。
https://www.agilent.com/cs/library/usermanuals/public/9000_Operation.pdf,https://community.agilent.com/technical/gc/f/forum/4869/how-to-turn-led-light-on-and-off-on-7693-als-using-9000-intuvo-gc,official_support_cross_reference,yes,official-domain search index / canonical page,,,,2026-07-28T10:00:00+00:00,Agilent 官方社区明确引用 Intuvo 9000 Gas Chromatograph Operation Manual。
https://www.agilent.com/cs/library/usermanuals/public/G1364E-User.pdf,https://www.agilent.com/cs/library/usermanuals/public/G1364-Preparative-Fraction-Collector-UseMa-en-SD-29000228.pdf,official_canonical_replacement,yes,official-domain search index / canonical page,,,,2026-07-28T10:00:00+00:00,Agilent 官方现行 1260 Infinity II Preparative Fraction Collector User Manual。
https://www.agilent.com/cs/library/usermanuals/public/user-manual-gcms-hydrogen-safety-q7003-90053-en-agilent.pdf,https://community.agilent.com/technical/gcms/w/gcms-wiki/4934/collection-of-5977-gc-msd-resources,official_support_cross_reference,yes,official-domain search index / canonical page,,,,2026-07-28T10:00:00+00:00,Agilent 官方资源集合列出 GC/MS Hydrogen Safety 手册及部件号。
https://www.agilent.com/en/product/liquid-chromatography/hplc-detectors,https://www.agilent.com/en/product/liquid-chromatography/hplc-components-accessories/hplc-detectors/1260-fluorescence-detector,official_current_product_page,yes,official-domain search index / canonical page,,,,2026-07-28T10:00:00+00:00,Agilent 官方现行 HPLC detector 产品页；含检测器特性、维护和文档入口。
https://www.agilent.com/en/product/liquid-chromatography/hplc-supplies-accessories,https://www.agilent.com/cs/library/eseminars/public/maintaining-lab-operations-hplc-and-lcmsd-support-topics-april172020.pdf,official_support_document,yes,official-domain search index / canonical page,,,,2026-07-28T10:00:00+00:00,Agilent 官方 HPLC/LCMSD support topics PDF；覆盖耗材、接头和维护主题。
https://www.agilent.com/en/product/liquid-chromatography/mass-spectrometry-lc-ms,https://www.agilent.com/en/product/liquid-chromatography-mass-spectrometry-lc-ms/lc-ms-instruments,official_canonical_replacement,yes,official-domain search index / canonical page,,,,2026-07-28T10:00:00+00:00,Agilent 官方现行 LC/MS instruments 入口；搜索索引返回产品体系正文。
https://www.agilent.com/en/product/liquid-chromatography/mass-spectrometry-lc-ms/infinitylab-lc-msd-series,https://www.agilent.com/cs/library/brochures/5991-7995EN.pdf,official_support_document,yes,official-domain search index / canonical page,,,,2026-07-28T10:00:00+00:00,Agilent 官方 InfinityLab LC/MSD Series 产品样本 PDF。
https://www.cernet.edu.cn/ke_yan_yu_fa_zhan/gai_kuang/xin_wen_gong_gao/202302/t20230221_2301697.shtml,https://www.moe.gov.cn/srcsite/A16/moe_784/202302/t20230220_1045998.html,official_canonical_replacement,yes,official-domain search index / canonical page,,,,2026-07-28T10:00:00+00:00,教育部官网原始通知与附件《高等学校实验室安全规范》。
