id,title,org,url,category,subcategory,lab_type,hazard_types,source_type,version,date,max_sections
OSHA-1910-1450,OSHA 29 CFR 1910.1450 Occupational Exposure to Hazardous Chemicals in Laboratories,OSHA,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1450,化学,实验室化学品职业暴露,化学,危险化学品;职业暴露;化学卫生计划,public_authoritative_source,e-CFR,,45
NIH-CSG,NIH Chemical Safety Guide,NIH Office of Research Services,https://ors.od.nih.gov/sr/dohs/Documents/chemical-safety-guide.pdf,化学,化学安全指南,化学,危险化学品;PPE;通风柜;储存;废弃物,public_authoritative_source,,,100
NIH-CHP,NIH Chemical Hygiene Plan,NIH Office of Research Services,https://ors.od.nih.gov/sr/dohs/Documents/chemical-hygiene-plan.pdf,化学,化学卫生计划,化学,化学卫生计划;危险化学品;责任分工;SOP,public_authoritative_source,,,80
NIH-SEG,NIH Chemical Segregation and Storage,NIH Office of Research Services,https://ors.od.nih.gov/sr/dohs/Documents/chemical-segregation-and-storage.pdf,化学,化学品分类储存,化学,化学品储存;不相容化学品;腐蚀性;氧化剂;易燃品,public_authoritative_source,,,20
NIH-GAS-CRYO,NIH Compressed Gas and Cryogen Safety Guidelines,NIH Office of Research Services,https://ors.od.nih.gov/sr/dohs/Documents/compressed-gas-and-cryogen-safety-guidelines-document.pdf,化学,压缩气体与低温液体,化学/物理,压缩气体;低温液体;窒息;爆炸;冻伤,public_authoritative_source,,,24
NIH-PEROXIDE,NIH Managing Peroxide Formers in the Lab,NIH Office of Research Services,https://ors.od.nih.gov/sr/dohs/Documents/managing-peroxide-formers-in-the-lab.pdf,化学,过氧化物形成化学品,化学,过氧化物;爆炸;储存期限;检测,public_authoritative_source,,,16
NIH-PYRO,NIH Managing Pyrophoric and Water Reactive Chemicals in the Laboratories,NIH Office of Research Services,https://ors.od.nih.gov/sr/dohs/Documents/managing-pyrophoric-and-water-reactive-chemicals-in-the-laboratories.pdf,化学,自燃和遇水反应化学品,化学,自燃化学品;遇水反应;火灾;惰性气氛,public_authoritative_source,,,18
NIH-COMPAT-STORAGE,NIH Fact Sheet on Compatible Chemical Storage,NIH Office of Research Services,https://ors.od.nih.gov/sr/dohs/Documents/fact-sheet-on-compatible-chemical-storage.pdf,化学,相容化学品储存,化学,化学品储存;不相容化学品;隔离;标签,public_authoritative_source,,,14
NIH-CABINET,NIH Fact Sheet on Chemical Storage Cabinets,NIH Office of Research Services,https://ors.od.nih.gov/sr/dohs/Documents/fact-sheet-on-chemical-storage-cabinets.pdf,化学,化学品储存柜,化学,化学品储存柜;易燃品;腐蚀品;隔离,public_authoritative_source,,,12
NIH-CRYOGEN-FS,NIH Fact Sheet on Cryogens,NIH Office of Research Services,https://ors.od.nih.gov/sr/dohs/Documents/cryogen-fact-sheet.pdf,化学,低温液体,化学/物理,低温液体;冻伤;窒息;压力风险,public_authoritative_source,,,20
NIH-PHS,NIH Fact Sheet on Particularly Hazardous Substances,NIH Office of Research Services,https://ors.od.nih.gov/sr/dohs/Documents/particularly-hazardous-substances-phs.pdf,化学,特别危险物质,化学,致癌物;急性毒性;生殖毒性;指定区域,public_authoritative_source,,,16
NIH-DCM,NIH Working Safely with Dichloromethane,NIH Office of Research Services,https://ors.od.nih.gov/sr/dohs/Documents/working-safely-with-dichloromethane.pdf,化学,二氯甲烷安全,化学,二氯甲烷;挥发性溶剂;职业暴露;通风柜,public_authoritative_source,,,14
NIH-DCM-PLAN,NIH Dichloromethane Health and Safety Plan,NIH Office of Research Services,https://ors.od.nih.gov/sr/dohs/Documents/nih-dichloromethane-health-and-safety-plan.pdf,化学,二氯甲烷健康安全计划,化学,二氯甲烷;健康安全计划;暴露控制;监测,public_authoritative_source,,,18
NIH-OEL,NIH Occupational Exposure Limits for Chemicals,NIH Office of Research Services,https://ors.od.nih.gov/sr/dohs/Documents/occupational-exposure-limits-for-chemicals.pdf,化学,职业暴露限值,化学,职业暴露限值;化学品;监测;风险评估,public_authoritative_source,,,10
NIH-FUME-HOOD-CLEAN,NIH How to Safely Clean Chemical Fume Hoods,NIH Office of Research Services,https://ors.od.nih.gov/sr/dohs/Documents/how-to-safely-clean-cfh-web.pdf,化学,通风柜清洁,化学,通风柜;污染清洁;PPE;化学残留,public_authoritative_source,,,12
NIH-LAB-SOP-TEMPLATE,NIH Lab Specific SOP Template,NIH Office of Research Services,https://ors.od.nih.gov/sr/dohs/Documents/lab-specific-sop-template.pdf,通用,实验室专用 SOP 模板,通用,SOP;风险评估;PPE;操作控制,public_authoritative_source,,,18
NIH-TOXIN,NIH Exempt Toxin Program Requirements,NIH Office of Research Services,https://ors.od.nih.gov/sr/dohs/Documents/exempt-toxin-program-requirements.pdf,生物,毒素项目要求,生物/化学,生物毒素;库存;安保;审批,public_authoritative_source,,,12
NIH-INACTIVATION,NIH SOP 900 Approval Process for Inactivation Methods for Infectious Material,NIH Office of Research Services,https://ors.od.nih.gov/sr/dohs/Documents/inactivation-method-review-process.pdf,生物,感染性材料灭活审批,生物,感染性材料;灭活;审批;验证,public_authoritative_source,,,14
CDC-BMBL6,"Biosafety in Microbiological and Biomedical Laboratories (BMBL), 6th Edition",CDC/NIH,https://www.cdc.gov/labs/pdf/SF__19_308133-A_BMBL6_00-BOOK-WEB-final-3.pdf,生物,生物安全,生物,生物安全;BSL;病原微生物;暴露控制,public_authoritative_source,6th Edition,,170
NIH-BMBL6,NIH-hosted BMBL 6th Edition,NIH Office of Research Services,https://ors.od.nih.gov/sr/dohs/Documents/biosafety-in-microbiological-and-biomedical-laboratories.PDF,生物,生物安全,生物,生物安全;BSL;病原微生物;暴露控制,public_authoritative_source,6th Edition,,80
NIH-LASER,NIH Laser Safety Program,NIH Office of Research Services,https://ors.od.nih.gov/sr/dohs/Documents/laser-safety-program.pdf,物理,激光安全,物理/工程,激光;眼损伤;皮肤损伤;受控区域,public_authoritative_source,,,25
NIH-LABCOAT,NIH Guidance for the Selection of Laboratory Coats,NIH Office of Research Services,https://ors.od.nih.gov/sr/dohs/Documents/laboratory-coat-selection-guidance.pdf,通用,PPE,通用,PPE;实验服;化学飞溅;火焰风险,public_authoritative_source,,,12
NIH-ECP,NIH Exposure Control Program,NIH Office of Research Services,https://ors.od.nih.gov/sr/dohs/Documents/exposure-control-plan.pdf,生物,血源性病原体暴露控制,生物/医学,血源性病原体;暴露控制;锐器;PPE,public_authoritative_source,,,50
NCBI-PRUDENT-OVERVIEW,Prudent Practices in the Laboratory: Handling and Management of Chemical Hazards,National Academies Press / NCBI Bookshelf,https://www.ncbi.nlm.nih.gov/books/NBK55873/,化学,化学品审慎实践,化学,危险化学品;风险评估;管理体系;通风;废弃物,public_authoritative_source,,,70
