id,title,category,subcategory,lab_type,risk_level,hazard_types,scenario,question,answer,steps,ppe,forbidden,disposal,first_aid,emergency,legal_notes,references,source_type,source_title,source_org,source_version,source_date,source_url,last_updated,reviewer,status,tags,language
EXT-OSHA-1910-1450-001-a77d791b29,OSHA 29 CFR 1910.1450 Occupational Exposure to Hazardous Chemicals in Laboratories - GPO Source: e-CFR,化学,实验室化学品职业暴露,化学,4,危险化学品;职业暴露;化学卫生计划,参考OSHA公开资料处理实验室化学品职业暴露相关实验室安全问题,GPO Source: e-CFR相关的实验室安全要求是什么？,"Definitions - Action level means a concentration designated in 29 CFR part 1910 for a specific substance, calculated as an eight (8)-hour time-weighted average, which initiates certain required activities such as exposure monitoring and medical surveillance. Assistant Secretary means the Assistant Secretary of Labor for Occupational Safety and Health, U.S. Department of Labor, or designee. Carcinogen (see select carcinogen ). Chemical Hygiene Officer means an employee who is designated by the employer, and who is qualified by training or experience, to provide technical guidance in the development and implementation of the provisions of the Chemical Hygiene Plan. This definition is not intended to place limitations on the position description or job classification that the designated individual shall hold within the employer's organizational structure. Chemical Hygiene Plan means a written program developed and implemented by the employer which sets forth procedures, equipment, personal protective equipment and work practices that (i) are capable of protecting employees from the health hazards presented by hazardous chemicals used in that particular workplace and","Definitions - Action level means a concentration designated in 29 CFR part 1910 for a specific substance, calculated...; This definition is not intended to place limitations on the position description or job classification that the...",按SDS、风险评估和本单位SOP选择PPE,禁止绕过工程控制、PPE、培训和审批要求,如产生废弃物，按SDS、本单位EHS分类和标签要求收集处置。,发生暴露后立即停止操作，冲洗/脱除污染物并按本单位流程就医和报告。,异常、泄漏、设备失效或失控反应时立即升级给PI、实验室负责人和EHS。,公开权威资料整理，落地执行时需结合本单位SOP、SDS、EHS审批和适用法规。,OSHA: OSHA 29 CFR 1910.1450 Occupational Exposure to Hazardous Chemicals in Laboratories; section: GPO Source: e-CFR,public_authoritative_source,OSHA 29 CFR 1910.1450 Occupational Exposure to Hazardous Chemicals in Laboratories,OSHA,e-CFR,,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1450,2026-05-01,auto-ingest; pending human EHS review,external_draft,external_public_source;OSHA-1910-1450;化学;实验室化学品职业暴露,en-US/zh-CN-meta
EXT-OSHA-1910-1450-002-8f108ed433,OSHA 29 CFR 1910.1450 Occupational Exposure to Hazardous Chemicals in Laboratories - (ii) meets the requirements of paragraph (e) of this section.,化学,实验室化学品职业暴露,化学,4,危险化学品;职业暴露;化学卫生计划,参考OSHA公开资料处理实验室化学品职业暴露相关实验室安全问题,(ii) meets the requirements of paragraph (e) of this section.相关的实验室安全要求是什么？,"Designated area means an area which may be used for work with ""select carcinogens,"" reproductive toxins or substances which have a high degree of acute toxicity. A designated area may be the entire laboratory, an area of a laboratory or a device such as a laboratory hood. Emergency means any occurrence such as, but not limited to, equipment failure, rupture of containers or failure of control equipment which results in an uncontrolled release of a hazardous chemical into the workplace. Employee means an individual employed in a laboratory workplace who may be exposed to hazardous chemicals in the course of his or her assignments. Hazardous chemical means any chemical which is classified as health hazard or simple asphyxiant in accordance with the Hazard Communication Standard (§ 1910.1200). Health hazard means a chemical that is classified as posing one of the following hazardous effects: Acute toxicity (any route of exposure); skin corrosion or irritation; serious eye damage or eye irritation; respiratory or skin sensitization; germ cell mutagenicity; carcinogenity; reproductive toxicity; specific target organ toxicity (single or repeated exposure); aspiration hazard. The criteria for determining whether a chemical is classified as a health hazard are detailed in appendix A of the Hazard Communication Standard (§ 1910.1200) and § 1910.1200(c) (definition of ""simple asphyxiant""","Laboratory means a facility where the ""laboratory use of hazardous chemicals"" occurs.; Walk-in hoods with adjustable sashes meet the above definition provided that the sashes are adjusted during use so...",护目镜/面屏;合适材质手套;必要时呼吸防护,禁止绕过工程控制、PPE、培训和审批要求,如产生废弃物，按SDS、本单位EHS分类和标签要求收集处置。,发生暴露后立即停止操作，冲洗/脱除污染物并按本单位流程就医和报告。,泄漏、火灾或失控释放时优先人员撤离、隔离区域、报警并联系EHS/应急人员。,公开权威资料整理，落地执行时需结合本单位SOP、SDS、EHS审批和适用法规。,OSHA: OSHA 29 CFR 1910.1450 Occupational Exposure to Hazardous Chemicals in Laboratories; section: (ii) meets the requirements of paragraph (e) of this section.,public_authoritative_source,OSHA 29 CFR 1910.1450 Occupational Exposure to Hazardous Chemicals in Laboratories,OSHA,e-CFR,,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1450,2026-05-01,auto-ingest; pending human EHS review,external_draft,external_public_source;OSHA-1910-1450;化学;实验室化学品职业暴露,en-US/zh-CN-meta
EXT-OSHA-1910-1450-003-8d73f7cb43,"OSHA 29 CFR 1910.1450 Occupational Exposure to Hazardous Chemicals in Laboratories - (iii) The procedures involved are not part of a production process, nor in any way simulate a p",化学,实验室化学品职业暴露,化学,4,危险化学品;职业暴露;化学卫生计划,参考OSHA公开资料处理实验室化学品职业暴露相关实验室安全问题,"(iii) The procedures involved are not part of a production process, nor in any way simulate a production process; and相关的实验室安全要求是什么？","(iv) ""Protective laboratory practices and equipment"" are available and in common use to minimize the potential for employee exposure to hazardous chemicals. Medical consultation means a consultation which takes place between an employee and a licensed physician for the purpose of determining what medical examinations or procedures, if any, are appropriate in cases where a significant exposure to a hazardous chemical may have taken place. Mutagen means chemicals that cause permanent changes in the amount or structure of the genetic material in a cell. Chemicals classified as mutagens in accordance with the Hazard Communication Standard (§ 1910.1200) shall be considered mutagens for purposes of this section. Physical hazard means a chemical that is classified as posing one of the following hazardous effects: Explosive; flammable (gases, aerosols, liquids, or solids); oxidizer (liquid, solid, or gas); self reactive; pyrophoric (gas, liquid or solid); self-heating; organic peroxide; corrosive to metal; gas under pressure; in contact with water emits flammable gas; or combustible dust. The criteria for determining whether a chemical is classified as a physical hazard are in appendix B of the Hazard Communication Standard (§ 1910.1200) and § 1910.1200(c) (definitions of ""combustible dust"" and ""pyrophoric gas""). Protective laboratory practices and equipment means those laboratory proc","(iv) ""Protective laboratory practices and equipment"" are available and in common use to minimize the potential for...; Chemicals classified as mutagens in accordance with the Hazard Communication Standard (§ 1910.1200) shall be...; Physical hazard means a chemical that is classified as posing one of the following hazardous effects: Explosive;...; Chemicals classified as reproductive toxins in accordance with the Hazard Communication Standard (§ 1910.1200) shall...",必要时呼吸防护,禁止绕过工程控制、PPE、培训和审批要求,如产生废弃物，按SDS、本单位EHS分类和标签要求收集处置。,发生暴露后立即停止操作，冲洗/脱除污染物并按本单位流程就医和报告。,异常、泄漏、设备失效或失控反应时立即升级给PI、实验室负责人和EHS。,公开权威资料整理，落地执行时需结合本单位SOP、SDS、EHS审批和适用法规。,"OSHA: OSHA 29 CFR 1910.1450 Occupational Exposure to Hazardous Chemicals in Laboratories; section: (iii) The procedures involved are not part of a production process, nor in any way simulate a production process; and",public_authoritative_source,OSHA 29 CFR 1910.1450 Occupational Exposure to Hazardous Chemicals in Laboratories,OSHA,e-CFR,,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1450,2026-05-01,auto-ingest; pending human EHS review,external_draft,external_public_source;OSHA-1910-1450;化学;实验室化学品职业暴露,en-US/zh-CN-meta
EXT-OSHA-1910-1450-004-c17b4f3b08,OSHA 29 CFR 1910.1450 Occupational Exposure to Hazardous Chemicals in Laboratories - Select carcinogen means any substance which meets one of the following criteria:,化学,实验室化学品职业暴露,化学,2,危险化学品;职业暴露;化学卫生计划,参考OSHA公开资料处理实验室化学品职业暴露相关实验室安全问题,Select carcinogen means any substance which meets one of the following criteria:相关的实验室安全要求是什么？,"(i) It is regulated by OSHA as a carcinogen; or (ii) It is listed under the category, ""known to be carcinogens,"" in the Annual Report on Carcinogens published by the National Toxicology Program (NTP) (latest edition); or (iii) It is listed under Group 1 (""carcinogenic to humans"") by the International Agency for Research on Cancer Monographs (IARC) (latest editions); or (iv) It is listed in either Group 2A or 2B by IARC or under the category, ""reasonably anticipated to be carcinogens"" by NTP, and causes statistically significant tumor incidence in experimental animals in accordance with any of the following criteria: (A) After inhalation exposure of 6-7 hours per day, 5 days per week, for a significant portion of a lifetime to dosages of less than 10 mg/m 3 ; (B) After repeated skin application of less than 300 (mg/kg of body weight) per week; or (C) After oral dosages of less than 50 mg/kg of body weight per day. For laboratory uses of OSHA regulated substances, the employer shall assure that laboratory employees' exposures to such substances do not exceed the permissible exposure limits specified in 29 CFR part 1910, subpart Z.","(i) It is regulated by OSHA as a carcinogen; or (ii) It is listed under the category, ""known to be carcinogens,"" in...; For laboratory uses of OSHA regulated substances, the employer shall assure that laboratory employees' exposures to...",按SDS、风险评估和本单位SOP选择PPE,禁止绕过工程控制、PPE、培训和审批要求,如产生废弃物，按SDS、本单位EHS分类和标签要求收集处置。,发生暴露后立即停止操作，冲洗/脱除污染物并按本单位流程就医和报告。,异常、泄漏、设备失效或失控反应时立即升级给PI、实验室负责人和EHS。,公开权威资料整理，落地执行时需结合本单位SOP、SDS、EHS审批和适用法规。,OSHA: OSHA 29 CFR 1910.1450 Occupational Exposure to Hazardous Chemicals in Laboratories; section: Select carcinogen means any substance which meets one of the following criteria:,public_authoritative_source,OSHA 29 CFR 1910.1450 Occupational Exposure to Hazardous Chemicals in Laboratories,OSHA,e-CFR,,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1450,2026-05-01,auto-ingest; pending human EHS review,external_draft,external_public_source;OSHA-1910-1450;化学;实验室化学品职业暴露,en-US/zh-CN-meta
EXT-OSHA-1910-1450-005-31106c72ac,OSHA 29 CFR 1910.1450 Occupational Exposure to Hazardous Chemicals in Laboratories - Employee exposure determination,化学,实验室化学品职业暴露,化学,4,危险化学品;职业暴露;化学卫生计划,参考OSHA公开资料处理实验室化学品职业暴露相关实验室安全问题,Employee exposure determination相关的实验室安全要求是什么？,"The employer shall measure the employee's exposure to any substance regulated by a standard which requires monitoring if there is reason to believe that exposure levels for that substance routinely exceed the action level (or in the absence of an action level, the PEL). If the initial monitoring prescribed by paragraph (d)(1) of this section discloses employee exposure over the action level (or in the absence of an action level, the PEL), the employer shall immediately comply with the exposure monitoring provisions of the relevant standard. Monitoring may be terminated in accordance with the relevant standard. Employee notification of monitoring results . The employer shall, within 15 working days after the receipt of any monitoring results, notify the employee of these results in writing either individually or by posting results in an appropriate location that is accessible to employees. Chemical hygiene plan - General . (Appendix A of this section is non-mandatory but provides guidance to assist employers in the development of the Chemical Hygiene Plan).","The employer shall measure the employee's exposure to any substance regulated by a standard which requires monitoring...; If the initial monitoring prescribed by paragraph (d)(1) of this section discloses employee exposure over the action...; The employer shall, within 15 working days after the receipt of any monitoring results, notify the employee of these...; Specific consideration shall be given to the following provisions which shall be included where appropriate: Employee...; Employees shall be informed of:",按SDS、风险评估和本单位SOP选择PPE,禁止绕过工程控制、PPE、培训和审批要求,如产生废弃物，按SDS、本单位EHS分类和标签要求收集处置。,发生暴露后立即停止操作，冲洗/脱除污染物并按本单位流程就医和报告。,异常、泄漏、设备失效或失控反应时立即升级给PI、实验室负责人和EHS。,公开权威资料整理，落地执行时需结合本单位SOP、SDS、EHS审批和适用法规。,OSHA: OSHA 29 CFR 1910.1450 Occupational Exposure to Hazardous Chemicals in Laboratories; section: Employee exposure determination,public_authoritative_source,OSHA 29 CFR 1910.1450 Occupational Exposure to Hazardous Chemicals in Laboratories,OSHA,e-CFR,,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1450,2026-05-01,auto-ingest; pending human EHS review,external_draft,external_public_source;OSHA-1910-1450;化学;实验室化学品职业暴露,en-US/zh-CN-meta
EXT-OSHA-1910-1450-006-07f057b0fc,OSHA 29 CFR 1910.1450 Occupational Exposure to Hazardous Chemicals in Laboratories - The location and availability of the employer's Chemical Hygiene Plan;,化学,实验室化学品职业暴露,化学,2,危险化学品;职业暴露;化学卫生计划,参考OSHA公开资料处理实验室化学品职业暴露相关实验室安全问题,The location and availability of the employer's Chemical Hygiene Plan;相关的实验室安全要求是什么？,"Medical consultation and medical examinations . Information provided to the physician . The employer shall provide the following information to the physician: Physician's written opinion . Any medical condition which may be revealed in the course of the examination which may place the employee at increased risk as a result of exposure to a hazardous chemical found in the workplace; and Hazard identification . Where the use of respirators is necessary to maintain exposure below permissible exposure limits, the employer shall provide, at no cost to the employee, the proper respiratory equipment. Respirators shall be selected and used in accordance with the requirements of 29 CFR 1910.134. The employer shall assure that such records are kept, transferred, and made available in accordance with 29 CFR 1910.20.","The employer shall provide the following information to the physician: Physician's written opinion .; Where the use of respirators is necessary to maintain exposure below permissible exposure limits, the employer shall...; Respirators shall be selected and used in accordance with the requirements of 29 CFR 1910.134.; The employer shall assure that such records are kept, transferred, and made available in accordance with 29 CFR 1910.20.",必要时呼吸防护,禁止绕过工程控制、PPE、培训和审批要求,如产生废弃物，按SDS、本单位EHS分类和标签要求收集处置。,发生暴露后立即停止操作，冲洗/脱除污染物并按本单位流程就医和报告。,异常、泄漏、设备失效或失控反应时立即升级给PI、实验室负责人和EHS。,公开权威资料整理，落地执行时需结合本单位SOP、SDS、EHS审批和适用法规。,OSHA: OSHA 29 CFR 1910.1450 Occupational Exposure to Hazardous Chemicals in Laboratories; section: The location and availability of the employer's Chemical Hygiene Plan;,public_authoritative_source,OSHA 29 CFR 1910.1450 Occupational Exposure to Hazardous Chemicals in Laboratories,OSHA,e-CFR,,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1450,2026-05-01,auto-ingest; pending human EHS review,external_draft,external_public_source;OSHA-1910-1450;化学;实验室化学品职业暴露,en-US/zh-CN-meta
EXT-NIH-CSG-001-5ec75f56c1,NIH Chemical Safety Guide - Hazard Classification: Provides specific criteria for,化学,化学安全指南,化学,2,危险化学品;PPE;通风柜;储存;废弃物,参考NIH Office of Research Services公开资料处理化学安全指南相关实验室安全问题,Hazard Classification: Provides specific criteria for相关的实验室安全要求是什么？,"classification of health, physical and environmental hazards, as well as classification of mixtures. Labels: Chemical manufacturers and importers are required to provide a label that includes a harmonized signal word, pictogram and hazard statement for each hazard class and category, along with precautionary statements.","Labels: Chemical manufacturers and importers are required to provide a label that includes a harmonized signal word,...",按SDS、风险评估和本单位SOP选择PPE,禁止绕过工程控制、PPE、培训和审批要求,如产生废弃物，按SDS、本单位EHS分类和标签要求收集处置。,发生人员暴露或不适时立即停止操作、撤离风险源并联系导师/EHS/医疗支持。,异常、泄漏、设备失效或失控反应时立即升级给PI、实验室负责人和EHS。,公开权威资料整理，落地执行时需结合本单位SOP、SDS、EHS审批和适用法规。,NIH Office of Research Services: NIH Chemical Safety Guide; section: Hazard Classification: Provides specific criteria for,public_authoritative_source,NIH Chemical Safety Guide,NIH Office of Research Services,,,https://ors.od.nih.gov/sr/dohs/Documents/chemical-safety-guide.pdf,2026-05-01,auto-ingest; pending human EHS review,external_draft,external_public_source;NIH-CSG;化学;化学安全指南,en-US/zh-CN-meta
EXT-NIH-CSG-002-c53e537afe,"NIH Chemical Safety Guide - Safety Data Sheets (SDS): Previously called,",化学,化学安全指南,化学,2,危险化学品;PPE;通风柜;储存;废弃物,参考NIH Office of Research Services公开资料处理化学安全指南相关实验室安全问题,"Safety Data Sheets (SDS): Previously called,相关的实验室安全要求是什么？","Material Safety Data Sheets (MSDS), have a specified 16-section format. Signal Word: There are two signal words in the GHS system - Danger and Warning. These signal words are used to communicate the relative level of hazard on both the label and the SOS, with ""Danger"" indicating the more severe hazard. The appropriate signal word is determined by the hazard classification.","These signal words are used to communicate the relative level of hazard on both the label and the SOS, with ""Danger""...",按SDS、风险评估和本单位SOP选择PPE,禁止绕过工程控制、PPE、培训和审批要求,如产生废弃物，按SDS、本单位EHS分类和标签要求收集处置。,发生人员暴露或不适时立即停止操作、撤离风险源并联系导师/EHS/医疗支持。,异常、泄漏、设备失效或失控反应时立即升级给PI、实验室负责人和EHS。,公开权威资料整理，落地执行时需结合本单位SOP、SDS、EHS审批和适用法规。,"NIH Office of Research Services: NIH Chemical Safety Guide; section: Safety Data Sheets (SDS): Previously called,",public_authoritative_source,NIH Chemical Safety Guide,NIH Office of Research Services,,,https://ors.od.nih.gov/sr/dohs/Documents/chemical-safety-guide.pdf,2026-05-01,auto-ingest; pending human EHS review,external_draft,external_public_source;NIH-CSG;化学;化学安全指南,en-US/zh-CN-meta
EXT-NIH-CSG-003-c816806a7e,NIH Chemical Safety Guide - Information and Training: While the GHS does not,化学,化学安全指南,化学,2,危险化学品;PPE;通风柜;储存;废弃物,参考NIH Office of Research Services公开资料处理化学安全指南相关实验室安全问题,Information and Training: While the GHS does not相关的实验室安全要求是什么？,"address training, the HCS requires that all personnel working with chemicals be properly trained to recog- nize and understand chemical labels and safety data sheets. If you see old pictograms on chemicals, please relabel if they are within the expiration date or contact DEP for disposal at (301) 496-4710. ■I Hazard Control/Hazardous Spill Procedure","If you see old pictograms on chemicals, please relabel if they are within the expiration date or contact DEP for...",按SDS、风险评估和本单位SOP选择PPE,禁止绕过工程控制、PPE、培训和审批要求,按危险废物/生物废物/锐器废物类别、标签和容器要求收集，交由本单位合规流程处置。,发生人员暴露或不适时立即停止操作、撤离风险源并联系导师/EHS/医疗支持。,泄漏、火灾或失控释放时优先人员撤离、隔离区域、报警并联系EHS/应急人员。,公开权威资料整理，落地执行时需结合本单位SOP、SDS、EHS审批和适用法规。,NIH Office of Research Services: NIH Chemical Safety Guide; section: Information and Training: While the GHS does not,public_authoritative_source,NIH Chemical Safety Guide,NIH Office of Research Services,,,https://ors.od.nih.gov/sr/dohs/Documents/chemical-safety-guide.pdf,2026-05-01,auto-ingest; pending human EHS review,external_draft,external_public_source;NIH-CSG;化学;化学安全指南,en-US/zh-CN-meta
EXT-NIH-CSG-004-c4b36451f2,NIH Chemical Safety Guide - Hazard Assessment,化学,化学安全指南,化学,2,危险化学品;PPE;通风柜;储存;废弃物,参考NIH Office of Research Services公开资料处理化学安全指南相关实验室安全问题,Hazard Assessment相关的实验室安全要求是什么？,"Hazard assessment identifies the hazards of the chemicals and processes used in the laboratory. The assessment evaluates the potential for risk and the severity of the risk associated with the hazards. The assessment determines measures to eliminate, minimize, or control the hazards and potential risks.","Hazard assessment identifies the hazards of the chemicals and processes used in the laboratory.; The assessment evaluates the potential for risk and the severity of the risk associated with the hazards.; The assessment determines measures to eliminate, minimize, or control the hazards and potential risks.",按SDS、风险评估和本单位SOP选择PPE,禁止绕过工程控制、PPE、培训和审批要求,如产生废弃物，按SDS、本单位EHS分类和标签要求收集处置。,发生人员暴露或不适时立即停止操作、撤离风险源并联系导师/EHS/医疗支持。,异常、泄漏、设备失效或失控反应时立即升级给PI、实验室负责人和EHS。,公开权威资料整理，落地执行时需结合本单位SOP、SDS、EHS审批和适用法规。,NIH Office of Research Services: NIH Chemical Safety Guide; section: Hazard Assessment,public_authoritative_source,NIH Chemical Safety Guide,NIH Office of Research Services,,,https://ors.od.nih.gov/sr/dohs/Documents/chemical-safety-guide.pdf,2026-05-01,auto-ingest; pending human EHS review,external_draft,external_public_source;NIH-CSG;化学;化学安全指南,en-US/zh-CN-meta
