# --- 更多化学品 (35) ---
铬酸	Chromic Acid	氧化剂;致癌(六价铬);腐蚀性	5	强氧化性清洗剂(已不推荐使用)。寻找更安全替代品。
王水	Aqua Regia	强腐蚀性;强氧化性;有毒气体(NOCl/Cl2)	5	现配现用，不可储存(产生气体压力积聚)。通风柜操作。
硫酸二甲酯	Dimethyl Sulfate	致癌;剧毒;经皮吸收;催泪	5	强甲基化试剂，极微量即可致命。仅在手套箱中操作。
碘化甲烷	Methyl Iodide	致癌;有毒;挥发性;高密度	4	强甲基化试剂，密度高(3.3g/mL)，手套箱操作。
碘	Iodine	腐蚀性;有毒;氧化剂	3	升华性固体，碘蒸气对呼吸道强刺激。通风柜中打开。
溴	Bromine	剧毒;强腐蚀性;氧化剂;挥发性	5	室温挥发性液体卤素，溴蒸气对呼吸道致命。手套箱操作。
四氯化钛	TiCl4	腐蚀性;遇水剧烈反应;催泪;产HCl	4	Ziegler-Natta催化剂前体，遇水剧烈水解。无水条件操作。
三氯化铝	AlCl3	腐蚀性;遇水产热;催泪	3	无水AlCl3 Lewis酸催化剂，遇水放热。密封防潮储存。
氯化锌	ZnCl2	腐蚀性;吸湿性	2	Lewis酸，易潮解，密封储存。
硼酸	Boric Acid	低毒;生殖毒性(高剂量)	2	温和酸，高剂量摄入影响生殖。标准操作即可。
尿素	Urea	低毒	1	蛋白质变性剂，无毒但大量粉尘避免吸入。
盐酸胍	Guanidine HCl	刺激性;低毒	2	强蛋白质变性剂，粉尘避免吸入。
异硫氰酸胍	Guanidine Isothiocyanate	有毒;刺激性;产HCN(遇酸)	3	RNA提取试剂，与酸接触产HCN剧毒！禁止与酸混用。
咪唑	Imidazole	腐蚀性;刺激性;吸湿性	3	生物缓冲液常用，高浓度腐蚀性。戴手套操作。
碘乙酰胺	Iodoacetamide	有毒;致突变;烷化剂	3	蛋白质烷化剂(半胱氨酸修饰)，戴丁腈手套。
二硫苏糖醇	DTT	刺激性;恶臭	2	还原剂(二硫键断裂)，硫醇臭味。通风柜使用。
三(2-羧乙基)膦	TCEP	刺激性;低毒	2	DTT替代品，无硫醇臭味。推荐替代DTT。
苯甲醚	Anisole	易燃;刺激性	3	高沸点醚，Grignard反应常用溶剂。可燃。
N-甲基吡咯烷酮	NMP	刺激性;生殖毒性;可燃	3	极性非质子溶剂，生殖毒性警示。寻找替代品。
苯乙烯	Styrene	易燃;致癌;过氧化物形成(C类)	4	聚合单体，形成过氧化物，含阻聚剂(TBC)。冷藏。
甲基丙烯酸甲酯	MMA	易燃;刺激性;致敏;过氧化物形成(C类)	4	牙科/涂层用单体，蒸气刺激眼鼻。通风柜操作。
二乙烯基苯	DVB	易燃;刺激性;过氧化物形成(C类)	4	交联剂，与苯乙烯类似风险。含阻聚剂冷藏。
烯丙醇	Allyl Alcohol	易燃;有毒;催泪	4	烯丙基化合物，催泪性极强。通风柜操作。
丙烯腈	Acrylonitrile	易燃;致癌;有毒	5	氰基烯烃，致癌物。严格通风柜操作。
吡咯	Pyrrole	易燃;刺激性;空气敏感	3	杂环化合物，暴露空气变黑。密封充氮储存。
噻吩	Thiophene	易燃;有毒;恶臭	3	含硫杂环，气味强烈。密封储存。
三氟乙酸酐	TFAA	腐蚀性;遇水剧烈反应;催泪	4	强三氟乙酰化试剂，遇水剧烈放热。无水条件。
乙酸乙烯酯	Vinyl Acetate	易燃;致癌;过氧化物形成(C类)	4	聚合单体，含阻聚剂。冷藏避光储存。
碳酸二甲酯	DMC	易燃;刺激性	2	绿色甲基化试剂替代硫酸二甲酯。推荐使用。
乳酸乙酯	Ethyl Lactate	易燃;刺激性	2	绿色溶剂替代品。低毒，可生物降解。
环戊基甲基醚	CPME	易燃;过氧化物形成(B类);刺激性	3	疏水醚溶剂，过氧化物形成倾向低于THF。定期检测。
2-甲基四氢呋喃	2-MeTHF	易燃;过氧化物形成(B类);刺激性	3	THF替代品(B类过氧化物形成物)，但过氧化物倾向更低。
正庚烷	n-Heptane	易燃;神经毒性;刺激性	3	比正己烷毒性低的正构烷烃替代品。仍可燃。
二乙二醇二甲醚	Diglyme	易燃;过氧化物形成;生殖毒性	4	高沸点醚，生殖毒性警示。寻找替代品。
1,2-二氯乙烷	DCE	易燃;致癌;有毒	5	卤代烷烃，致癌物。仅在通风柜使用。
# --- 设备与仪器 (20) ---
马弗炉	高温设备	烫伤;火灾;电气	3	高温(800-1600°C)操作设备，使用耐火手套和护目镜。禁止放入易燃物或密封容器。
恒温摇床	生物培养设备	生物污染;过热;机械伤	2	培养微生物的设备，定期清洁消毒。固定培养瓶防止脱落甩出。
PCR仪	分子生物学设备	电气;低温烫伤(热盖)	1	热盖温度可达105°C，小心接触。无特殊化学风险。
凝胶成像系统	分析设备	紫外辐射;电气	2	使用UV透射仪时佩戴防紫外面罩。UV可致皮肤癌和白内障。
酶标仪	分析设备	电气;试剂泄漏	1	微孔板读数设备。如有试剂泄漏立即清洁。无特殊安全风险。
流式细胞仪	分析设备	生物气溶胶;激光;高压液流	3	含激光(通常488nm/633nm等)；分选模式产生气溶胶需在BSC内或加装气溶胶控制系统。
荧光显微镜	成像设备	紫外/激光;汞灯;电气	2	汞灯含高压汞蒸气(破裂时释放有毒汞蒸气)。推荐用LED光源替代汞灯。
超纯水系统	通用设备	电气;微生物;漏水	1	定期更换滤芯避免微生物滋生。注意管路漏水可能导致地板湿滑。
组织匀浆机	样品制备	机械伤害;生物气溶胶;噪声	2	高速旋转刀片，手勿靠近。生物样品在BSC内匀浆。佩戴听力防护。
涡旋混合器	通用设备	机械振动;样品飞溅	1	单手操作时另一只手持管盖。样品可能飞溅——戴护目镜。
移液器	通用设备	重复性劳损;样品接触	1	使用正确的吸头和量程，不可超过量程操作。口吸移液绝对禁止。
pH计	分析设备	电极破损;标准液泄漏	1	玻璃电极易碎。校准液无毒但勿食。
电热恒温干燥箱	加热设备	烫伤;火灾;样品过热	3	禁止干燥易燃溶剂或低闪点物质。设定温度不得高于样品分解温度。
旋转蒸发仪	分离设备	溶剂蒸气;玻璃破损;热水浴烫伤	3	收集瓶和旋转瓶检查裂纹。水浴温度勿过高。真空释放后再取下瓶子。
真空干燥箱	干燥设备	真空;过热;易燃溶剂	4	禁止在真空干燥箱中干燥易燃溶剂(蒸气可被加热元件点燃)。仅用于干燥固体。
球磨机	粉碎设备	机械伤害;粉尘爆炸;噪声	3	研磨罐密封，粉尘控制。金属粉末研磨需惰性气氛(防粉尘爆炸)。
台式冷冻离心机	分离设备	转子失衡;气溶胶;低温	3	高速离心需精确平衡(0.1g)。生物样品用密封转头。冷冻功能防结冰。
超声波清洗机	清洗设备	噪声;烫伤;易燃溶剂	2	不可超声含易燃溶剂的样品(空化引发局部热点)。使用提篮取放物品。
微波消解仪	样品前处理	高压;高温;爆炸	4	消解罐压力可达100bar+。严格遵守样品量和酸配比。超压时自动泄压。
循环水真空泵	真空设备	电气-水接触;水槽污染	2	水-电结合设备。定期检查水管连接防漏水。真空管路加防倒吸阀。
# --- 应急与通用场景 (10) ---
实验室气瓶柜安全	气瓶柜	高压气体;泄漏;火灾	3	气瓶柜需负压排风(特别是可燃/有毒气体柜)。柜门保持关闭。可燃气体和氧化性气体柜分开存放。
实验室冰箱安全	冰箱管理	易燃蒸气爆炸;化学品泄漏;交叉污染	3	普通家用冰箱不可存放易燃化学品(内部温控开关产生火花可引爆积聚蒸气)。使用实验室安全冰箱或防爆冰箱。
实验室加热设备安全	加热设备	火灾;烫伤;无人值守	4	电热板/加热套/油浴/沙浴等高热设备运行时必须有人值守。加热设备周围清除可燃物。不可在通风橱内使用电热板。
实验室高压反应安全	高压反应	爆炸;泄漏;有毒物释放	5	高压反应釜/Parr反应器/氢化反应器：不超过设备额定压力和温度。使用防爆屏。泄压阀定期检验。高风险反应需经安全委员会审批。
实验室玻璃器皿安全	玻璃器皿	割伤;内爆;热冲击	2	使用前检查玻璃器皿裂纹和星裂(真空操作内爆风险)。玻璃管插入橡胶塞时涂抹润滑剂并戴防割手套。加热玻璃器皿需耐热玻璃材质。
实验室废物分类收集规范	废物管理	交叉反应;处理人员伤害;违规	3	危险废物分类收集原则：不相容废物(酸/碱/氧化剂/易燃物/氰化物/硫化物)绝对不可混合。每种废液单独编号、标识成分和比例。废液桶装至80%满即密封更换。锐器入锐器盒，不混入普通废物。
实验室紧急断电与恢复	电气安全	断电;设备损坏;数据丢失	2	停电时关闭所有设备电源开关(防止来电时电流冲击损坏设备)。停电前如有实验进行中(特别是加热/制冷/反应)，评估安全影响。重要样品和设备接入UPS不间断电源。
实验室漏水应急	设施应急	漏水;触电;化学品扩散	3	实验室上方漏水：立即关闭受影响区域的电源(先断电再处理水)。化学品柜/设备用防水布遮盖。漏水处下方实验室通知楼上实验室停止用水。严重时通知物业关闭楼层总水阀。
化学品泄漏应急分级	泄漏应急	化学品扩散;人员暴露;环境污染	4	三级响应：一级(<50mL低毒，自行清理)；二级(50-500mL或中等毒性，清场+升级PPE+应急包)；三级(>500mL或高毒/发火/爆炸性，立即撤离+报警+HAZMAT)。不确定时往上靠一级：撤离比冒险更安全。
实验室安全检查清单	安全检查	管理缺失;隐患积累	2	日常检查(每次离室前)：水和气关闭？设备电源关闭？通风橱前窗拉低？化学品瓶盖紧？废物正确处理？每周检查：洗眼器激活？灭火器压力正常？应急通道无障碍？每月检查：化学品清单更新？过期药品？气瓶固定？电线完好？
