氯化锌	Zinc Chloride	腐蚀性;刺激性	2	路易斯酸，水解放热。储存密封防潮。
碳酸钠	Sodium Carbonate	刺激性;粉尘	1	碱性盐，大量使用无毒，粉尘避免吸入。
碳酸氢钠	Sodium Bicarbonate	无明显危害	1	小苏打，实验室酸碱中和常用。无毒但避免粉尘吸入。
EDTA二钠	EDTA-2Na	低毒;刺激性	1	金属螯合剂，大量食入可能影响矿物质吸收。
Tris碱	Tris Base	刺激性;粉尘	1	生物缓冲液常用，粉尘对眼和呼吸道有轻微刺激。
甘氨酸	Glycine	低毒	1	氨基酸，基本无毒。标准实验室操作即可。
十二烷基硫酸钠	SDS/SLS	刺激性;粉尘;致敏	2	阴离子表面活性剂，粉尘强刺激性。称量时戴N95口罩。
Triton X-100	Triton X-100	刺激性;环境危害	2	非离子表面活性剂，对水生生物有毒。含此物的废液不排入下水道。
Tween-20	Tween-20	低毒;刺激性	1	温和非离子表面活性剂。基本无毒。
NP-40	NP-40	刺激性;环境危害	2	非离子表面活性剂，类似Triton X-100环境毒性。不排入下水道。
冰乙酸	Glacial Acetic Acid	腐蚀性;易燃;强刺激性	3	凝固点16.7°C，冬季可能结晶。可燃，与氧化剂隔离存放。
乙酸酐	Acetic Anhydride	腐蚀性;易燃;催泪	4	乙酰化试剂，与水反应生成乙酸并放热。密封防潮储存。
乙酰氯	Acetyl Chloride	腐蚀性;催泪;遇水产热	4	酸性氯化物，与水和醇剧烈反应。无水条件操作。
苯甲酰氯	Benzoyl Chloride	腐蚀性;催泪;遇水产热	4	Schotten-Baumann反应常用，催泪性强烈。通风柜操作。
对甲苯磺酰氯	TsCl	腐蚀性;催泪;遇水产热	3	磺酰化试剂，与水缓慢反应。密封防潮。
二碳酸二叔丁酯	Boc2O	有毒;刺激性;遇水产气	3	Boc保护试剂，与水/醇反应产CO₂。密封冷藏。
9-芴甲氧羰基氯	Fmoc-Cl	刺激性;有毒	3	Fmoc保护试剂，粉尘避免吸入。
N,N'-二环己基碳二亚胺	DCC	致敏;刺激性	3	强致敏物，可致接触性皮炎。戴防化手套称量。
1-乙基-(3-二甲基氨基丙基)碳二亚胺	EDC	刺激性;有毒	2	水溶性碳二亚胺，比DCC安全但仍需戴手套。
1-羟基苯并三唑	HOBt	爆炸性(无水);刺激性	4	无水HOBt干燥时有爆炸风险，市售含水物安全。
O-苯并三氮唑-四甲基脲六氟磷酸盐	HBTU	刺激性;有毒	3	固相合成常用缩合剂。戴手套称量。
茚三酮	Ninhydrin	刺激性;皮肤染色	2	氨基酸检测显色剂，皮肤接触产生紫色斑点。
水合氯醛	Chloral Hydrate	有毒;管制药品	3	镇静催眠药前体，受管制。限制使用。
苦味酸	Picric Acid	爆炸性(干燥);有毒;染色	5	干燥时对冲击和摩擦极度敏感！必须保持湿润(>30%水)储存。定期检查含水量。
2,4-二硝基苯肼	2,4-DNPH	爆炸性(干燥);有毒;致敏	4	干燥时有爆炸风险，市售含水物。处理沉淀时注意。
叠氮化三甲基硅烷	TMS-N3	有毒;爆炸性;遇水产HN3	4	叠氮化试剂，与酸/水反应产生剧毒HN3气体。手套箱操作。
三氟甲磺酸三甲基硅酯	TMSOTf	腐蚀性;遇水剧烈反应;催泪	4	强Lewis酸和硅烷化试剂，遇水剧烈放热分解。无水条件操作。
