丙酮	Acetone	易燃;刺激性;挥发性	3	高度易燃，闪点-20°C，蒸气与空气形成爆炸性混合物。避免明火和静电。
乙腈	Acetonitrile	易燃;有毒(氰化物代谢);挥发性	4	体内代谢产生氰化物，中毒潜伏期数小时。在通风柜内使用。
二氯甲烷	Dichloromethane	致癌(IARC 2A);麻醉性;挥发性	4	重度挥发性卤代溶剂，代谢产生一氧化碳。通风柜内使用。
正丁基锂	n-BuLi	发火;自燃;腐蚀性	5	接触空气自燃，比叔丁基锂活性稍低但仍极度危险。严格无水无氧操作。
金属钾	Potassium metal	发火;遇水剧烈反应;腐蚀性	5	遇水爆炸，必须储存在矿物油中。禁止与水或含水溶剂接触。
白磷	White Phosphorus	发火;剧毒;自燃	5	在空气中自燃(30°C)，储存于水中。极度危险品。
二乙基锌	Diethylzinc	发火;自燃;遇水反应	5	液态有机金属发火物，接触空气立即自燃。仅可在手套箱内操作。
三甲基铝	TMA	发火;自燃;遇水剧烈反应	5	极度发火，与水和空气反应剧烈。手套箱内操作。
叠氮化钠	Sodium Azide	剧毒;爆炸性(金属叠氮化物);环境危害	5	与酸反应产生剧毒叠氮酸气体。禁止与金属(铜/铅)管道接触。
光气(三氯甲烷分解产物)	Phosgene	剧毒;窒息性;致命	5	无色剧毒气体，三氯甲烷和二氯甲烷在UV/热条件下可产生。需注意储存和使用条件。
甲醛溶液	Formalin/Formaldehyde	致癌(IARC 1类);刺激性;致敏	4	37%福尔马林溶液释放甲醛气体，对眼和呼吸道强刺激。通风柜内使用。
戊二醛	Glutaraldehyde	致敏;刺激性;职业性哮喘	3	强效消毒剂，可致职业性哮喘。在通风柜或BSC内使用。
环氧乙烷	Ethylene Oxide	易燃;致癌;致突变;爆炸性	5	气体灭菌剂，可燃范围广(3-100%)，致癌。需要专用防爆设施。
过氧化氢(30%+)	Hydrogen Peroxide 30%+	强氧化剂;腐蚀性;爆炸性(与有机物)	4	30%+浓度与有机物接触可爆炸。储存于阴凉处，排气盖。
硝酸(浓)	Nitric Acid (conc.)	强氧化剂;腐蚀性;有毒气体(NOx)	5	浓硝酸与有机物反应生成爆炸性硝酸酯。与乙酸分离存放。
硫酸(浓)	Sulfuric Acid (conc.)	腐蚀性;脱水性;与水产热	4	稀释时浓硫酸缓慢加入水中(不可反向！)，产热剧烈。
盐酸	Hydrochloric Acid	腐蚀性;刺激性气体(HCl)	3	挥发性酸，释放HCl气体腐蚀金属。在通风柜内打开。
氢氧化钠	NaOH	腐蚀性;与水产热;碱烧伤	4	固体NaOH溶解时大量放热。碱烧伤比酸烧伤更危险(深层皂化)。
氢氧化钾	KOH	腐蚀性;与水产热;碱烧伤	4	特性与NaOH相似，碱烧伤深入组织。佩戴防溅护目镜和面罩。
硼氢化锂	Lithium Borohydride	发火;遇水产氢;强还原剂	5	比硼氢化钠更活泼，遇水产H₂。手套箱操作。
三氟化硼乙醚	BF3-Etherate	腐蚀性;有毒;易燃	4	Lewis酸催化剂，腐蚀性强。手套箱或Schlenk线操作。
四氯化碳	CCl4	致癌;肝毒性;臭氧层破坏物质	5	极度肝毒性，已禁止实验室常规使用。寻找替代品。
亚硫酰氯	Thionyl Chloride	腐蚀性;催泪;产SO2/HCl气体	4	用于酰氯化反应，开瓶释放刺激性气体。通风柜操作。
三氯化磷	PCl3	腐蚀性;有毒;遇水产热	4	与水反应生成H3PO3和HCl，刺激性强。无水条件操作。
草酰氯	Oxalyl Chloride	腐蚀性;催泪;产CO和HCl	4	DMSO氧化(Swern)常用试剂，反应产气。通风柜操作。
重铬酸铵	Ammonium Dichromate	氧化剂;致癌;环境危害	5	热分解产生Cr2O₃+N₂+H₂O(火山反应)，教学演示安全距离。
硝酸银	Silver Nitrate	氧化剂;腐蚀性;皮肤染色	3	皮肤接触产生黑色Ag颗粒沉着(银质沉着症数周不褪)。
氯化汞	Mercuric Chloride	剧毒;神经毒性;环境危害	5	升汞，致死量低至0.2-0.4g。寻找替代品(如PMSF替代HgCl₂)。
对苯二酚	Hydroquinone	刺激性;致敏;可疑致癌	3	显影液常用，皮肤接触致白斑病。戴丁腈手套。
碘甲烷	Methyl Iodide	致癌;有毒;挥发性	4	强甲基化试剂，高密度液体(3.3g/mL)，蒸气有毒。
溴化乙锭	Ethidium Bromide	致突变;可疑致癌;DNA嵌入	3	常用DNA染色剂，推荐用SYBR Safe等安全替代染料。
四甲基乙二胺	TEMED	易燃;腐蚀性;刺激性	3	丙烯酰胺聚合催化剂，气味强烈刺激。通风柜使用。
过硫酸铵	Ammonium Persulfate	氧化剂;刺激性;致敏	2	APS溶液随配随用，粉尘吸入刺激呼吸道。
beta-巯基乙醇	beta-Mercaptoethanol	有毒;恶臭;易燃	3	强烈硫醇臭味，通风柜内使用。含此物的废液需单独收集。
考马斯亮蓝	Coomassie Brilliant Blue	刺激性;染料	1	蛋白染色剂，低毒性但染色力极强(污染衣物)。
苯甲基磺酰氟	PMSF	剧毒;蛋白酶抑制剂;腐蚀性	4	丝氨酸蛋白酶抑制剂，溶于异丙醇使用。手套箱称量。
硫酸铜	Copper Sulfate	有毒;环境危害(水生生物);刺激性	2	重金属盐，含铜废液单独收集，不排入下水道。
氯化铁	Ferric Chloride	腐蚀性;刺激性	2	路易斯酸，水解放热。储存干燥。
过氧化苯甲酰	Benzoyl Peroxide	爆炸性;氧化剂;刺激性	5	有机过氧化物引发剂，对冲击/热/摩擦敏感。远离还原剂。
偶氮二异丁腈	AIBN	易燃;爆炸性(加热);有毒分解	4	自由基引发剂，加热分解产N₂和有毒四甲基琥珀腈。冷藏(<4°C)储存。
氘代氯仿	CDCl3	有毒;致癌;挥发性	3	NMR溶剂，含TMS内标。长期接触可能致癌。
氘代DMSO	DMSO-d6	刺激性;皮肤促渗剂	2	可将溶解的化学品携带透过皮肤进入体内。佩戴丁腈手套。
石油醚(30-60)	Petroleum Ether 30-60	极度易燃;神经毒性;挥发性	4	低沸程石油醚极度易燃，蒸气远距离引燃。防爆冰箱储存。
异丙醚	Diisopropyl Ether	极度易燃;过氧化物形成(A类);爆炸性	5	最危险的过氧化物形成物之一(A类)，储存3个月后禁止使用。定期检测。
二氧六环	1,4-Dioxane	易燃;过氧化物形成(B类);致癌	4	B类过氧化物形成物，长期储存可浓缩至爆炸水平。不蒸干。
乙二醇二甲醚	DME/Glyme	易燃;过氧化物形成;生殖毒性	4	醚类溶剂，形成过氧化物。生殖毒性警示。
六甲基磷酰三胺	HMPA	致癌(IARC 2B);生殖毒性	4	强极性非质子溶剂，已被DMPU等更安全替代品取代。限制使用。
三乙基硅烷	Triethylsilane	易燃;刺激性;遇水产氢	3	还原剂，与酸反应产H₂。通风柜使用。
氯化锌	Zinc Chloride	腐蚀性;刺激性	2	路易斯酸，水解放热。储存密封防潮。
碳酸钠	Sodium Carbonate	刺激性;粉尘	1	碱性盐，大量使用无毒，粉尘避免吸入。
碳酸氢钠	Sodium Bicarbonate	无明显危害	1	小苏打，实验室酸碱中和常用。无毒但避免粉尘吸入。
EDTA二钠	EDTA-2Na	低毒;刺激性	1	金属螯合剂，大量食入可能影响矿物质吸收。
Tris碱	Tris Base	刺激性;粉尘	1	生物缓冲液常用，粉尘对眼和呼吸道有轻微刺激。
甘氨酸	Glycine	低毒	1	氨基酸，基本无毒。标准实验室操作即可。
